ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1732,334,631,1435,2066,3185720,31384743815,3596693,35260876221,0.8383349468,0.885735869,0.8900727145
$50M-$100M,567,47,237,377,614,3315939,40739610860,3577008,44130302608,0.9234527687,0.9270147006,0.9231663608
$100M-$200M,508,36,227,317,544,5344888,72189219898,5635526,77124051939,0.9338235294,0.9484275292,0.9360143572
$200M-$500M,502,25,232,295,527,10911621,160589043221,11375545,168167024527,0.9525616698,0.9592174265,0.954937769
$500M-$1B,278,5,146,137,283,12633561,199486163010,12913779,202904024869,0.9823321555,0.9783008521,0.9831552782
$1B-$2B,200,3,117,86,203,16555563,275496315837,16814882,280744314237,0.9852216749,0.9845780066,0.9813068399
$2B-$5B,161,8,96,73,169,29267626,498241762727,30743095,523364760989,0.9526627219,0.9520064912,0.9519971535
$5B-$10B,59,0,36,23,59,21867804,429536307618,21867804,429536307618,1,1,1
> $10B,19,1,9,11,20,33865008,531808884977,36698411,562819136723,0.95,0.9227922157,0.9449019237
Totals,4026,459,1731,2754,4485,136947730,2239472051963,143222743,2324050799731,0.8976588629,0.9561870352,0.9636071863
