ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,24,4,20,24,0,0,2629,2621605,0,0,0
$200K-$500K,0,63,21,42,63,0,0,13227,21308711,0,0,0
$500K-$1M,0,64,18,46,64,0,0,18507,46866617,0,0,0
$1M-$2M,0,110,36,74,110,0,0,39074,160064271,0,0,0
$2M-$5M,3,240,61,182,243,1346,9827506,149239,840300702,0.01234567901,0.009019090184,0.01169522526
$5M-$10M,9,327,100,236,336,8604,65881352,352099,2396441654,0.02678571429,0.02443630911,0.02749132318
$10M-$20M,8,421,123,306,429,20017,117440066,708557,6186592907,0.01864801865,0.02825037365,0.01898299561
$20M-$50M,45,725,261,509,770,143184,1605076667,2238979,25552932842,0.05844155844,0.06395057747,0.06281379429
$50M-$100M,72,533,232,373,605,436030,5597101142,3478201,43870522712,0.1190082645,0.1253607828,0.1275822761
$100M-$200M,94,448,222,320,542,990037,13874616866,5468646,77220808570,0.1734317343,0.18103878,0.1796745867
$200M-$500M,125,406,236,295,531,2701614,39975744803,11215430,169832542056,0.2354048964,0.2408836754,0.2353833036
$500M-$1B,72,215,148,139,287,3292769,52252904399,12747283,204998097828,0.2508710801,0.2583114378,0.2548945817
> $1B,205,255,261,199,460,67270305,1118419302222,107840742,1855281139783,0.4456521739,0.6237930466,0.6028300931
Totals,633,3831,1723,2741,4464,74863906,1231917895023,144272613,2386410240258,0.1418010753,0.5189058716,0.5162221793
