NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10025801,NoteWorthy FCU,OH,5444397,692,1,10025874,2026-06-01
10017182,Richmond Light EFCU,IN,1192063,122,2,10036369,2026-06-15
10012794,Pueblo Govt Agencies FCU,CO,44019552,2939,12,10012575,2026-07-01
10017650,St Athanasius CU,IA,498619,226,1,10017368,2026-08-01
10010219,Solutions First CU,AL,45680590,4941,9,10010068,2026-07-01
10032042,CALCOE FCU,WA,44197019,3541,9,10016608,2026-06-01
10010015,MAC FCU,AK,175882044,18242,65,10010008,2026-06-01
10037134,Indiana Lakes FCU,IN,28362143,1912,5,10015155,2026-07-01
10031555,Ascent CU,UT,173071159,9173,48,10031427,2026-06-01
10019430,Franklin First FCU,MA,88471976,7387,19,10019739,2026-06-01
10021271,Heartland CU,MN,176398212,10468,33,10021363,2026-07-01
10017002,Harvester Financial CU,IN,82416387,6395,24,10016804,2026-07-01
10010409,Arkansas AM and N College FCU,AR,1999807,473,2,,1952-03-25
10013362,Waterbury Postal EFCU,CT,10735134,889,2,10036622,2026-07-01
10028127,SMMH FCU,PA,3280101,743,2,10028252,2026-06-25
10016135,Rockford Municipal ECU,IL,23724823,2102,5,10014993,2026-07-01
10016228,MWRD ECU,IL,37940939,2120,7,10015155,2026-07-01
10034225,BCBST ECU,TN,10041314,1558,3,10029334,2026-07-01
,Totals (18 Credit Unions):,,953356279,73923,249,,
