ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,65,1962,620,1407,2027,173151,1798225591,3502323,34973197579,0.03206709423,0.04943890098,0.05141724851
$50M-$100M,72,531,231,372,603,436030,5597101142,3470492,43710517489,0.1194029851,0.1256392465,0.1280492994
$100M-$200M,94,447,221,320,541,990037,13874616866,5461868,77098484825,0.1737523105,0.1812634432,0.1799596568
$200M-$500M,124,406,236,294,530,2682882,39631543448,11196698,169488340701,0.2339622642,0.239613679,0.2338305
$500M-$1B,72,216,148,140,288,3292769,52252904399,12790699,205739373019,0.25,0.2574346406,0.2539762012
$1B-$2B,75,133,120,88,208,6571695,107604199301,17123804,288278280324,0.3605769231,0.3837754158,0.3732650243
$2B-$5B,79,92,96,75,171,14988311,246243750800,31043932,535376867125,0.4619883041,0.482809684,0.4599446968
$5B-$10B,37,24,36,25,61,14287464,285197490484,22443602,449907796579,0.606557377,0.6365940726,0.6339020854
> $10B,14,6,9,11,20,31422835,479373861637,37229404,581718195755,0.7,0.8440327167,0.8240654412
Totals,632,3817,1717,2732,4449,74845174,1231573693668,144262822,2386291053396,0.1420543942,0.518811243,0.5161037217
