NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10024368,St Pius X Church FCU,NY,Adam Amesbury,Ann Hynes
10029013,Edisto FCU,SC,Mary Moorer,Lee Williams
10018584,New Orleans Police Dept ECU,LA,Terrence Duffy,Michael Ellington
10018179,Louisville Federal CU,KY,Tracye Thompson,Michael Hovekamp
10026933,Teamsters Council 37 FCU,OR,Crystal Coutu,Steve Haight
10015303,Decatur Earthmover CU,IL,Barry Schmidt,Beth Puckett
10017996,Topeka Firemens CU,KS,Monica Haworth,Steven Montour
10018604,Access of Louisiana FCU,LA,Michelle Jinks,Rhonda Fields
10016796,Central Soya FCU,IN,Nichole Hawkins,Marilyn Cress
10023872,Greater Centennial FCU,NY,Tammy Johnson Barnes,Kim Umstead
10027133,Armco CU,PA,Randall Cypher,James Hrabosky
10031126,Trinity Valley Teach CU,TX,Becky Goodman,James Ives
10026674,Employees FCU,OK,John Hughes,Crystal Brown
10023378,LOCO Credit Union,NM,Deanna Schlensig,Karen Griffo
10025752,Theory FCU,OH,Miranda McConoughey,Carol Stefancin
10022537,Omaha FCU,NE,Chris Byous,Christine Byous
10023653,Church of the Master FCU,NY,Genevieve White,James Parson
10026715,Benton County Schools CU,OR,Amanda Held,Joe Tofte
10024782,Internal Revenue EFCU,NC,LaDawn Atkinson,Rose Sims
10023131,Paterson Police FCU,NJ,John Russo,Daniel Nichols
10023138,Picatinny FCU,NJ,Rob Albrecht,Tony Molina
10024456,Suma FCU,NY,Andrij Burchak,Walter Kozicky
10035361,AnMed Health FCU,SC,Tami Ellison,Dana Fisher
10023126,North Jersey FCU,NJ,Richard Garcia,Lourdes Cortez
10024266,XCEL FCU,NJ,Michael Mahiya,Arlene Bernard
10023158,N.J.T. Employees FCU,NJ,Louis Sneyers,Paul Smisek
10026488,Mahoning Valley FCU,OH,Joan Bulmer,Melanie Noble
10029090,Palmetto Health CU,SC,Hansel Hart,Alice Renfrow
10023609,Canandaigua FCU,NY,Holly Davis,Barry Stilwell
10024316,Rochester and Monroe Co EFCU,NY,Andrea Thune,Mary Beth Zelazny
10026523,OK Federal Credit Union,OK,James Franks,Milton Fielder
10022895,Jersey Shore FCU,NJ,James Burns,David Palmer
10026527,Bison FCU,OK,Lanna Patton,Tony Thompson
10029505,Kennedy VA EFCU,TN,Margie Johnson,Calvetta Mathis
10028946,Westerly Community CU,RI,Stephen White,Andrew Rogers
10028251,Penn State FCU,PA,Cheryl Barr,Frederick Tabor
10027930,Pittsburgh City Hall Employees FCU,PA,Andrew Kloss,Charles Murphy
10027940,PPG & Associates FCU,PA,Sean O'Leary,Linda Orris
10027333,Erie Police FCU,PA,Michelle Kraus,Gail Markiewicz
10027353,Fayette County School Employees CU,PA,Jill Pegg,Claudia Tiberi
10026768,IBEW and United Workers FCU,OR,Julie Roth,Susan Keto
10023465,Akron School EFCU,NY,Rachel Kleparek,Christine Papke
10025619,Golden Circle CU Inc,OH,Tera Wentling,Rita Nealis
10029246,Avanti FCU,SD,Austin Petrik,Judy Wolff
10027049,Ingersoll-Rand FCU,PA,Thomas Mitchell,Lori Unger
10028339,Choice One Community FCU,PA,Thomas Smith,John Rose
10025009,Aspire Community FCU,ND,Kevin Vigested,Mindee Kohlman
10018520,Kraftman FCU,LA,Barbara Andrews,Tina Lewis
10011552,Star One Credit Union,CA,Gary Rodrigues,Minal Gupta
10026408,UPS CU Inc,OH,Maggie Deering,Mary Dameron
10024618,Boulevard FCU,NY,Jennifer Heim,Miriam Perez
10029107,South Carolina Methdst Cnfrnc CU,SC,Talmadge Cox,Reginald Wilson
10029645,Old Hickory CU,TN,Bonnette Dawson,Amy Harris
10019740,MyCom FCU,MA,Lisa Laughnane,Nancy Canino
10026459,Valley One Community FCU,OH,Tom McNeil,David Sabol
10025029,Minot Area Schools FCU,ND,Mindy Faaiuaso,Dee Dee Kraft
10024059,Mamta FCU,NY,MaryAnn Lanza,Dean Reben
10026301,Summit FCU,OH,Tiffany Katzenmeyer,Sharon Arthur
10027016,Lebanon Federal Credit Union,PA,Daniel Wolford,Christopher Pastal
10024049,Long Beach Teachers FCU,NY,James Fiola,Harold Rams
10029177,HB Telco FCU,SD,Sara Gogolin,Jane Ramsell
10018975,ACT 1st FCU,MD,Stephanie Boyd,Michael Wright
10018506,Jefferson Parish EFCU,LA,Michael Loyd,Brent Loyd
10011330,East County Schools FCU,CA,Matt Lyons,Steve Devan
10024038,Financial Trust FCU,NY,John Morrison,Ramon Gallardo
10022474,Spirit of America FCU,NE,Cheryl Wiemer,Rhonda Litt
10021566,Ampot FCU,MS,Melissa Carter,Michelle Hyland
10020057,Auto Owners Associates CU,MI,Brandon Biddinger,Patty Fox
10038847,Pioneer Mutual FCU,TX,Faheem Prasla,Shaukat Ali
10027490,Holy Trinity Baptist FCU,PA,Delores Peters,Mike Wazowski
10030499,LCRA CU,TX,Melissa Reyes,Tim Lane
10025421,Wright-Dunbar Area CU Inc,OH,Linda Hunter,Floyd Drakeford
10030277,Coastal Community FCU,TX,Ronesha Holmes,Kay Carmon
10023322,High Desert Community CU,NM,Liz Rusk,Dan Ford
10039266,Beckstrand and Associates ECU,UT,Julie Johnson,Richard Beckstrand
10021036,South Central CU,MI,Terri Papiersky,Eric Samon
10023856,Gowanda Area FCU,NY,Lisa Hill,Mary Stelley
10030618,Moore County Schools FCU,TX,Brittney Holguin,Melissa Reyes
10026383,University of Toledo FCU,OH,Gregory Cook,Beverly Trost
10027400,Frick Financial Federal Credit Union,PA,Lindsay Moore,Daniel Komacek
10024841,Oteen VA FCU,NC,Shannon Austin,Maria Mathis
10024145,New York Times EFCU,NY,Charles Young,Darlene Greene
10032179,Peninsula Community Federal Credit Union,WA,James Morrell,"James Morrell, CUDE"
10032980,Lakewood Credit Union,WI,Jonathan Roepke,Amy Ketterhagen
10020257,Southeast Michigan State EFCU,MI,Danielle Goss,R. David Bickley
10035624,New England Teamsters FCU,MA,Kevin George,Barbara Frazier
10026091,Riverview FCU,OH,Brendan Healy,Leslie Crooks
10037134,Indiana Lakes FCU,IN,Jamie Bales,David Brumbaugh
10029881,Angelina Cnty Teachers CU,TX,Phyllis Davis,Brenda Chandler
10032309,Spokane Firefighters CU,WA,Gayle Furness,Troy Clute
10021243,Share Advantage CU,MN,Kellee Lueck Schafer,Helena Seabrook
10039245,Self-Help CU,NC,Martin Eakes,Calvaria Hunter
10021244,Duluth Fire Dept CU,MN,David Torgerson,Tim Aune
10031600,Heritage Family FCU,VT,Chris Gomez,Chris GOMEZ
10030810,Rockdale FCU,TX,Katherine Quinney,Cathy Kubacak
10030820,Cherokee County FCU,TX,Kim De Leon,Jamie Lewis
10036683,Choctaw FCU,MS,Ashton Steve,Sandy Balderas
10022048,Century CU,MO,Joshua Wallace,Bob Eike
10012441,First California FCU,CA,Gabrielle Deleon,Dianne Edwards
10019316,Brotherhood CU,MA,Adam Sherman,James Sherman
10030394,Priority Trust Credit Union,TX,Malcolm Rene,Vladimir Stark
10010546,Usem Mena FCU,AR,Lisa Doughty,Regina Lawry
10019324,Cambridge Municipal EFCU,MA,David Kale,Camille Bernazzani
10030429,IBEW Local 681 CU,TX,Crystal Gilley,Jana Tucker
10019250,Attleboro Municipal EFCU,MA,Scott Kaplan,Tracy Conway
10013321,Torrington Municipal-Teachers FCU,CT,Donna Marie Battistoni,Mindy Moulthrop
10036622,America's First Network CU,CT,Nicholas Moalli,June Martin
10021871,Summit Ridge CU,MO,Sharri Wardlow,Brenda Rempe
10030199,Mountain Star FCU,TX,Samuel Diaz,Robert Carrillo JR.
10020657,Compass CU,MI,Erika Bauer,Dennis Greeno
10021105,WMCU,MI,Joseph Heintskill,William Keim
10019513,HTM CU,MA,Joseph Graham,Diane Bevilacqua
10031373,Hi Land CU,UT,Misty Miller,Blair Asay
10013298,Sound Federal Credit Union Inc,CT,Megan Legault,Mary Shepard
10018145,Kemba Louisville CU,KY,Timothy Head,Donald Diebold
10019176,Thiokol-Elkton FCU,MD,Vincent Setnar,Karen Porter
10013158,Ellafi FCU,CT,Betsy Sommers,Robyn Swanson
10021568,Biloxi Teachers FCU,MS,Sherry Deshamp,John Welter
10022298,Mountain West FCU,MT,Whitney Johnson,Leah Salazar
10021752,First Neshoba FCU,MS,Jason Martin,Jackie Long
10036924,Riverside Community CU,IL,Melissa Bayston,Stacey Shreffler
10028123,SRU FCU,PA,Timothy Miller,Lynne Griffith-Schall
10028108,SCA FCU,PA,Lori Rhoades,David Meyer
10016436,United Equity Credit Union,IL,Ann Wildman,Kara Johnston
10028140,Pennstar FCU,PA,Nichole Sayer,Pamela Suber
10019752,Polish National CU,MA,James Kelly,Michael Sugrue
10016316,Financial Partners CU,IL,Eric Paine,Diana Bowden
10017028,City of Firsts Community FCU,IN,Felicia Cox,Debra Mullen
10021989,Leadco Community CU,MO,Tammie Coleman,Sherry Voss
10017681,Midland CU,IA,Randy Hass,Ryan Hass
