ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,63,1913,604,1372,1976,169257,1775048980,3420831,34302521714,0.03188259109,0.04947832851,0.05174689473
$50M-$100M,71,524,228,367,595,426057,5498263300,3425197,43156855188,0.1193277311,0.1243890497,0.1274018525
$100M-$200M,94,443,218,319,537,990037,13874616866,5420644,76489288997,0.1750465549,0.1826419518,0.1813929381
$200M-$500M,123,403,235,291,526,2661908,39287252692,11122208,168361185448,0.2338403042,0.2393326937,0.2333510101
$500M-$1B,72,212,146,138,284,3292769,52252904399,12643649,202940356193,0.2535211268,0.2604286943,0.2574791204
$1B-$2B,75,133,120,88,208,6571695,107604199301,17123804,288278280324,0.3605769231,0.3837754158,0.3732650243
$2B-$5B,78,89,94,73,167,14818909,243448931520,30262804,522448369432,0.4670658683,0.4896740236,0.4659770147
$5B-$10B,36,24,35,25,60,13729293,275197821269,21885431,439908127364,0.6,0.6273256853,0.6255802158
> $10B,14,6,9,11,20,31422835,479373861637,37229404,581718195755,0.7,0.8440327167,0.8240654412
Totals,626,3747,1689,2684,4373,74082760,1218312899964,142533972,2357603180415,0.1431511548,0.5197551079,0.516759101
