NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10010303,Bridgeway Credit Union,AL,63968820,7086,30
10010850,Beverly Hills City EFCU,CA,14904068,1750,4
10029560,Beacon Financial CU,TN,28299507,2169,9
10026609,Municipal ECU of Oklahoma City,OK,191421600,9676,41
10023160,Peoples Transport FCU,NJ,11627093,1624,4
10027134,Moonlight CU,PA,53353188,3883,10
10011300,Glendale FCU,CA,102411161,8044,15
10027310,Elliott Community FCU,PA,54307084,7045,26
10011330,East County Schools FCU,CA,147541795,4754,23
10031939,St Anns Arlington FCU,VA,3133930,297,3
10030274,United Community CU,TX,126997300,13596,51
10031778,High Street Baptist Church FCU,VA,2491418,275,1
10031619,St Patricks Parish Credit Union,VT,532840,290,1
10036892,North Alabama Papermakers FCU,AL,2069544,333,2
10013649,Signal Financial FCU,MD,369072784,18277,79
10011665,Mid Cities CU,CA,16279430,2350,5
10017853,Kansas Blue Cross Blue Shield CU,KS,56031266,3427,10
10035296,Delancey Street FCU,CA,497969,94,1
10013358,Greater Waterbury Healthcare FCU,CT,9409411,999,2
10012848,School District 3 FCU,CO,36373655,1590,7
10014197,Southernmost FCU,FL,16659062,1225,4
10039213,Stewarts FCU,NY,44724289,4408,6
10032453,City of Fairmont FCU,WV,1382160,336,4
10032454,CAPE Federal Credit Union,WV,15709094,1165,3
10021096,Wayne Westland FCU,MI,159742519,10762,34
10036580,CRCH EFCU,VA,5781689,1202,3
,Totals (26 Credit Unions):,,1534722676,106657,378
