State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,10,79,49,40,89,1277107,15078624615,2724246,38265163077,0.1123595506,0.468792833,0.3940561964
Alaska,1,8,1,8,9,774540,11619726090,998763,15145831832,0.1111111111,0.7754992926,0.7671896941
Arizona,9,24,15,18,33,744534,12475922384,1957928,32153134161,0.2727272727,0.3802662815,0.3880157474
Arkansas,4,45,0,49,49,199908,3418574321,374479,5033920638,0.08163265306,0.5338296674,0.6791077108
California,43,202,106,139,245,4576985,102548014045,14191047,297843370918,0.1755102041,0.3225262378,0.3443018179
Colorado,13,53,35,31,66,1323160,25797654344,2344484,42818605146,0.196969697,0.5643715206,0.6024870324
Connecticut,15,52,26,41,67,461851,7171396363,902715,14904971718,0.223880597,0.5116243776,0.4811412258
Delaware,3,14,0,17,17,112575,1193973072,268269,3116200020,0.1764705882,0.4196347696,0.3831503319
District Of Columbia,12,18,0,30,30,233924,10001127880,296045,10662307013,0.4,0.7901636576,0.9379891113
Florida,31,81,63,49,112,4159151,64165721678,7673300,118106626035,0.2767857143,0.5420289836,0.5432863831
Georgia,5,71,35,41,76,390780,6878340600,2265901,36593621723,0.06578947368,0.1724611976,0.18796556
Hawaii,5,40,0,45,45,216315,4302509720,876655,16443403180,0.1111111111,0.246750432,0.2616556727
Idaho,4,22,16,10,26,116530,1710875465,1345748,23129770102,0.1538461538,0.08659124888,0.07396854605
Illinois,14,183,153,44,197,2278080,45896840984,4081700,72985495373,0.07106598985,0.558120391,0.6288487973
Indiana,16,111,32,95,127,1213878,22268158609,2800866,47038267897,0.125984252,0.4333938146,0.4734051572
Iowa,3,64,65,2,67,59741,900201076,1709596,34369534463,0.0447761194,0.03494451321,0.0261918321
Kansas,2,59,44,17,61,6346,140908959,788300,11009778147,0.03278688525,0.008050234682,0.01279852846
Kentucky,6,48,17,37,54,505824,9452897476,969006,15451796828,0.1111111111,0.5220029597,0.6117668761
Louisiana,14,127,25,116,141,572010,7548338657,1290365,16708552495,0.09929078014,0.4432931767,0.4517649664
Maine,1,47,12,36,48,18475,268790282,756116,12749312918,0.02083333333,0.02443408154,0.02108272687
Maryland,20,42,7,55,62,1226240,23246266910,2131569,38161793336,0.3225806452,0.575275771,0.6091502751
Massachusetts,17,110,48,79,127,1899176,26382731602,3432294,55874319120,0.1338582677,0.5533255601,0.4721799213
Michigan,15,158,112,61,173,1983139,42248096740,6006525,109777976238,0.08670520231,0.3301641132,0.3848503879
Minnesota,12,71,59,24,83,736644,17483217122,2187951,42918807203,0.1445783133,0.3366821286,0.4073556154
Mississippi,3,53,1,55,56,360812,4567323174,750083,8616711457,0.05357142857,0.4810294327,0.5300540928
Missouri,6,86,80,12,92,481866,5520523343,1821519,24202952417,0.0652173913,0.2645407487,0.2280929718
