ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1666,390,630,1426,2056,3094324,30491288913,3582727,35059347220,0.810311284,0.8636784215,0.8697049811
$50M-$100M,558,54,236,376,612,3261952,40164345599,3565638,43967175695,0.9117647059,0.9148298285,0.9135075193
$100M-$200M,506,37,226,317,543,5329668,71911101344,5629901,76996834479,0.9318600368,0.9466717088,0.9339488023
$200M-$500M,496,32,233,295,528,10792248,158754832742,11403327,168612961397,0.9393939394,0.9464122181,0.9415339807
$500M-$1B,275,7,146,136,282,12514829,197696953299,12871192,202188026716,0.975177305,0.9723131315,0.9777876391
$1B-$2B,200,3,117,86,203,16555563,275496315837,16814882,280744314237,0.9852216749,0.9845780066,0.9813068399
$2B-$5B,160,9,96,73,169,29129264,495792409849,30743095,523364760989,0.9467455621,0.9475059034,0.9473171425
$5B-$10B,58,1,36,23,59,21670190,424489925944,21867804,429536307618,0.9830508475,0.9909632444,0.9882515597
> $10B,19,1,9,11,20,33865008,531808884977,36698411,562819136723,0.95,0.9227922157,0.9449019237
Totals,3938,534,1729,2743,4472,136213046,2226606058504,143176977,2323288865074,0.8805903399,0.951361377,0.95838537
