State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,77,13,50,40,90,2701373,36661157709,2731807,37096307861,0.8555555556,0.9888593887,0.988269718
Alaska,9,0,1,8,9,993985,14958326534,993985,14958326534,1,1,1
Arizona,31,2,15,18,33,1922919,30895024912,1936021,31006768082,0.9393939394,0.9932325114,0.9963961684
Arkansas,47,2,0,49,49,367537,4860209653,371066,4893371157,0.9591836735,0.9904895625,0.9932231783
California,210,35,107,138,245,13634711,284380081438,14001482,291192741286,0.8571428571,0.9738048444,0.9766042937
Colorado,58,8,35,31,66,2344057,41889083499,2364490,42169736485,0.8787878788,0.9913583902,0.9933446825
Connecticut,60,10,25,45,70,931250,14733057254,949960,14991451745,0.8571428571,0.9803044339,0.982763878
Delaware,17,0,0,17,17,267526,3060215720,267526,3060215720,1,1,1
District Of Columbia,28,3,0,31,31,283879,10317063899,295539,10453681103,0.9032258065,0.9605466622,0.986931187
Florida,105,8,64,49,113,7285358,110642719674,7596396,114749246349,0.9292035398,0.9590545306,0.9642130401
Georgia,65,11,35,41,76,2225458,35138126923,2257677,35640597857,0.8552631579,0.9857291366,0.9859017254
Hawaii,45,0,0,45,45,869664,15995105593,869664,15995105593,1,1,1
Idaho,24,2,16,10,26,1305960,22256273647,1307291,22265913691,0.9230769231,0.998981864,0.9995670493
Illinois,192,7,153,46,199,4056162,71101577206,4070156,71157198349,0.9648241206,0.9965618025,0.9992183343
Indiana,115,13,33,95,128,2773609,44958441648,2806460,45368206296,0.8984375,0.9882945062,0.9909680218
Iowa,64,4,66,2,68,1685427,33480526205,1701439,33729934894,0.9411764706,0.9905891425,0.9926057169
Kansas,58,3,44,17,61,782088,10635003379,784491,10653481785,0.9508196721,0.9969368673,0.9982655055
Kentucky,54,1,18,37,55,966601,15000886601,967300,15006147037,0.9818181818,0.99927737,0.9996494479
Louisiana,127,16,26,117,143,1280302,16164743756,1292351,16244755214,0.8881118881,0.9906766815,0.9950746283
Maine,48,0,12,36,48,754499,12398712275,754499,12398712275,1,1,1
Maryland,55,8,7,56,63,2040916,36145014393,2107471,37241087427,0.873015873,0.9684194943,0.9705681786
Massachusetts,114,14,48,80,128,3330781,53636436293,3414380,55085062508,0.890625,0.9755156134,0.9737020138
Michigan,162,13,111,64,175,5883206,105380887418,5957512,106450433145,0.9257142857,0.9875273436,0.9899526409
Minnesota,81,3,59,25,84,2161472,41349942133,2176323,41643289195,0.9642857143,0.9931761048,0.9929557183
Mississippi,57,0,1,56,57,742659,8332724371,742659,8332724371,1,1,1
Missouri,86,5,80,11,91,1774871,23022507649,1782410,23128237581,0.9450549451,0.9957703334,0.9954285349
Montana,42,0,9,33,42,436550,7639740842,436550,7639740842,1,1,1
Nebraska,50,1,10,41,51,560360,6590757410,562824,6624473129,0.9803921569,0.9956220772,0.9949104301
Nevada,13,0,8,5,13,404326,8257764634,404326,8257764634,1,1,1
New Hampshire,12,1,7,6,13,816306,12646478995,817807,12659367936,0.9230769231,0.9981646036,0.9989818654
New Jersey,84,50,6,128,134,794236,13219308474,938365,14974303455,0.6268656716,0.8464041178,0.8827995582
New Mexico,35,4,18,21,39,1051339,18341460848,1115903,19136323524,0.8974358974,0.9421419245,0.958463146
New York,236,40,12,264,276,6737448,121211085724,6907457,124816220867,0.8550724638,0.9753876137,0.9711164533
North Carolina,50,8,29,29,58,4903854,79409844172,5136478,83760718508,0.8620689655,0.9547113801,0.9480559096
North Dakota,29,0,16,13,29,214370,5571787732,214370,5571787732,1,1,1
Ohio,174,30,93,111,204,3097827,44994285878,3275797,47520722348,0.8529411765,0.9456712366,0.9468350575
Oklahoma,50,3,9,44,53,1438752,20718651461,1445243,20770026291,0.9433962264,0.9955087138,0.9975264918
Oregon,44,5,20,29,49,2077595,33997188476,2272112,37575958681,0.8979591837,0.9143893435,0.9047590446
Pennsylvania,233,56,35,254,289,4880585,76923854696,4958909,77867188326,0.8062283737,0.9842053968,0.9878853513
Rhode Island,13,2,8,7,15,490701,10440319697,493216,10478854410,0.8666666667,0.9949008142,0.9963226216
South Carolina,45,2,8,39,47,1687524,22909409227,1706472,23063223521,0.9574468085,0.9888963897,0.9933307547
South Dakota,33,0,0,33,33,343389,5793214527,343389,5793214527,1,1,1
Tennessee,119,9,70,58,128,2509015,42065942291,2623984,43544854287,0.9296875,0.9561853273,0.9660370434
Texas,359,31,161,229,390,9887822,148287078843,10591437,158008809347,0.9205128205,0.9335675603,0.9384734905
Utah,53,1,22,32,54,3974923,60492282191,3975786,60494944814,0.9814814815,0.999782936,0.999955986
Vermont,15,1,11,5,16,432372,6773970059,435787,6853238232,0.9375,0.9921636029,0.9884334718
Virginia,87,10,20,77,97,20302352,261787942953,20316335,261899465828,0.8969072165,0.9993117361,0.9995741768
Washington,70,6,48,28,76,4672553,86438547199,4882986,89379006477,0.9210526316,0.9569048529,0.9671012311
West Virginia,69,6,3,72,75,364243,4766166575,378904,4908934221,0.92,0.9613068218,0.9709167735
Wisconsin,104,1,102,3,105,3915328,69653190404,3915489,69654064075,0.9904761905,0.9999588813,0.999987457
Wyoming,15,3,0,18,18,383108,5681389135,385781,5715913717,0.8333333333,0.9930711984,0.993959919
Totals,4023,451,1731,2743,4474,139743148,2272005512225,143036062,2321881853269,0.8991953509,0.976978435,0.9785190013
