ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,16,11,3,24,27,1456,1556087,2932,2875445,0.5925925926,0.4965893588,0.5411638894
$200K-$500K,41,16,20,37,57,9566,14225999,12519,19463735,0.7192982456,0.7641185398,0.7308976926
$500K-$1M,48,13,15,46,61,15023,35476835,18279,44965315,0.7868852459,0.8218720937,0.7889822411
$1M-$2M,69,41,35,75,110,23118,100500003,39957,162612835,0.6272727273,0.5785719649,0.6180324142
$2M-$5M,175,64,62,177,239,109005,613648025,144764,827997154,0.7322175732,0.7529841673,0.7411233505
$5M-$10M,262,72,101,233,334,270844,1849789605,352144,2382459036,0.7844311377,0.7691285383,0.7764203191
$10M-$20M,353,69,120,302,422,576154,5107457075,693211,6084935353,0.836492891,0.8311379941,0.8393609428
$20M-$50M,688,72,257,503,760,2023771,22907952530,2220254,25308475694,0.9052631579,0.9115042693,0.9051494372
$50M-$100M,543,47,229,361,590,3110493,39542468689,3375424,42910607698,0.9203389831,0.9215117864,0.9215080096
$100M-$200M,507,34,220,321,541,5224888,72291233364,5501723,77098834611,0.9371534196,0.9496821269,0.9376436587
$200M-$500M,501,30,233,298,531,10628946,160183214830,11185275,169604569906,0.9435028249,0.9502623762,0.9444510541
$500M-$1B,280,5,148,137,285,12454449,200688186813,12739861,203986539589,0.9824561404,0.9775969298,0.9838305371
> $1B,445,15,261,199,460,103172412,1797790312785,108347339,1866343014862,0.9673913043,0.9522376179,0.9632689696
Totals,3928,489,1704,2713,4417,137620125,2301126022640,144633682,2394777351233,0.8892913742,0.9515081349,0.9608935133
