ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,64,1955,618,1401,2019,171486,1789502885,3486319,34808980958,0.03169886082,0.04918826992,0.05140922934
$50M-$100M,72,529,230,371,601,436030,5597101142,3460327,43569228044,0.1198003328,0.1260083223,0.128464547
$100M-$200M,94,445,219,320,539,990037,13874616866,5441296,76810276204,0.1743970315,0.181948749,0.180634904
$200M-$500M,124,406,236,294,530,2682882,39631543448,11196698,169488340701,0.2339622642,0.239613679,0.2338305
$500M-$1B,72,215,147,140,287,3292769,52252904399,12757473,204859589349,0.2508710801,0.2581051122,0.2550669196
$1B-$2B,75,133,120,88,208,6571695,107604199301,17123804,288278280324,0.3605769231,0.3837754158,0.3732650243
$2B-$5B,79,91,96,74,170,14988311,246243750800,30923379,533227197749,0.4647058824,0.4846918896,0.4617989327
$5B-$10B,37,24,36,25,61,14287464,285197490484,22443602,449907796579,0.606557377,0.6365940726,0.6339020854
> $10B,14,6,9,11,20,31422835,479373861637,37229404,581718195755,0.7,0.8440327167,0.8240654412
Totals,631,3804,1711,2724,4435,74843509,1231564970962,144062302,2382667885663,0.1422773393,0.5195218177,0.5168848661
