ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,31,6,25,31,0,0,3649,4014879,0,0,0
$200K-$500K,0,57,18,39,57,0,0,12916,20136121,0,0,0
$500K-$1M,0,64,19,45,64,0,0,18591,46405335,0,0,0
$1M-$2M,0,109,33,76,109,0,0,39365,156790238,0,0,0
$2M-$5M,3,249,71,181,252,1290,9979375,165226,872616531,0.0119047619,0.007807487926,0.01143615167
$5M-$10M,7,335,99,243,342,7165,47230523,354727,2440008734,0.02046783626,0.02019863162,0.01935670243
$10M-$20M,10,431,127,314,441,21046,138760443,741813,6366365723,0.02267573696,0.02837103151,0.02179586424
$20M-$50M,46,724,258,512,770,145370,1617199138,2260406,25354538660,0.05974025974,0.06431145555,0.06378341802
$50M-$100M,73,541,237,377,614,438666,5558701853,3577008,44130302608,0.1188925081,0.1226348949,0.1259611089
$100M-$200M,96,448,227,317,544,1033750,14001344144,5635526,77124051939,0.1764705882,0.1834345188,0.1815431606
$200M-$500M,125,402,232,295,527,2747914,39806748699,11375545,168167024527,0.2371916509,0.2415632833,0.2367095976
$500M-$1B,70,213,146,137,283,3257336,50495791606,12913779,202904024869,0.2473498233,0.2522372421,0.2488654015
> $1B,204,247,258,193,451,66513713,1085513758203,106124192,1796464519567,0.4523281596,0.6267535399,0.6042500402
Totals,634,3851,1731,2754,4485,74166250,1197189513984,143222743,2324050799731,0.1413600892,0.5178384972,0.5151305273
