NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10023005,Linden NJ Police and Firemen FCU,NJ,Robert Bunk,Margie Walker Horsch
10016883,Financial Center First CU,IN,Cameron Minges,Ning Duong
10016828,Centra CU,IN,Rick Silvers,Brad Davis
10010070,Auburn University CU,AL,Henry Armstrong,Dave Bradford
10024397,First New York FCU,NY,Lucy Halstead,Vik Muktavaram
10025871,Medina County FCU,OH,Edwin Grimm,Pete Grimm
10023244,Raritan Bay FCU,NJ,Ronald Behrens,Jodi Cardilla
10023316,U.S. Eagle FCU,NM,Marsha Majors,Michael Moore
10022961,NJ Gateway FCU,NJ,Rina Pantano,Pierina Pantano
10017108,Family Horizons CU,IN,Keith Wright,Jamie Reed
10013498,EP FCU,DC,Ron Schneeberger,Stephen Camp
10017783,Cooperative CU,KS,Lyle Martin,Tona Brawley
10030883,River City FCU,TX,Jeff Ivey,Michael Quintanilla
10021850,Conservation ECU,MO,Kevin Brueseke,Ronda LePage
10035636,Ulster Federal Credit Union,NY,William Querbes,Stacey Warr
10036366,Coral Community FCU,FL,Joe Pitcher,Carolyn Alvarez
10030182,Telco Plus CU,TX,Randall Pearson,Cassandra Carmon
10013799,PowerNet CU,FL,Donald Prue,Rob Picard
10032892,Guardian Credit Union,WI,Kevin Nitka,Steven Heiderer
