League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,767231,11460496338,992047,14886295438,0.1111111111,0.7733817047,0.7698689298
Association of Vermont Credit Unions,3,13,11,5,16,229427,4029292469,433840,6816416083,0.1875,0.5288286004,0.5911159794
California and Nevada Credit Union League,46,217,119,144,263,4647126,100987419935,14514579,302621724507,0.174904943,0.3201695344,0.3337084279
Carolinas Credit Union League,27,80,37,70,107,4970129,87581258213,6877101,110910458829,0.2523364486,0.7227069953,0.7896573428
Cooperative Credit Union Association,20,151,64,107,171,2277428,31357597306,4913336,79263720189,0.1169590643,0.4635196942,0.395610971
Cornerstone League,71,587,301,357,658,6667146,103483017266,14931552,216879767322,0.1079027356,0.4465139324,0.4771446343
Credit Union Association of New Mexico,8,32,18,22,40,826649,14641997550,1118946,19374103179,0.2,0.7387747041,0.7557509844
CrossState Credit Union Association,54,380,43,391,434,3111586,51607518662,5914292,91857787124,0.1244239631,0.5261130157,0.5618197463
Dakota Credit Union Association,6,55,16,45,61,58978,896150888,547109,11076850511,0.09836065574,0.1077993599,0.08090304073
GoWest Credit Union Association,46,225,133,138,271,5183748,94526784618,13037558,226468902084,0.1697416974,0.3976011459,0.4173941047
Hawaii Credit Union League,6,40,0,46,46,214978,3894285765,873896,15571887094,0.1304347826,0.245999524,0.2500843823
Illinois Credit Union League,15,189,156,48,204,2272491,45770530976,4056347,71356476152,0.07352941176,0.5602309171,0.6414348556
Indiana Credit Union League,16,112,33,95,128,1217135,21223393769,2810459,45171003681,0.125,0.4330733877,0.4698455212
Iowa Credit Union League,2,66,67,1,68,20891,259385078,1672626,32721137909,0.02941176471,0.01248994097,0.007927141126
Kentucky's Credit Unions,6,50,18,38,56,497577,8911493423,964791,14807472533,0.1071428571,0.5157355324,0.6018240725
League of Southeastern Credit Unions,46,235,152,129,281,5774475,84617168749,12550336,188653691641,0.1637010676,0.4601052115,0.448531741
Luminate Louisiana Credit Unions,15,131,26,120,146,619207,8155195753,1339575,17013809419,0.102739726,0.4622413825,0.4793280301
Maine Credit Union League,1,46,12,35,47,18254,252876083,747465,12159490280,0.02127659574,0.02442121036,0.02079660226
Maryland & DC Credit Union Association,39,69,7,101,108,1662841,35926749801,2738245,53884171207,0.3611111111,0.6072652374,0.6667403246
Michigan Credit Union League,15,166,117,64,181,1969919,41177572256,6003275,106474214598,0.08287292818,0.3281407232,0.3867375065
Minnesota Credit Union Network,12,73,59,26,85,725427,16828713495,2172536,41788659121,0.1411764706,0.3339079306,0.4027100617
Mississippi Credit Union Association,3,56,1,58,59,352667,4357220398,720758,8067141521,0.05084745763,0.4893001534,0.5401194942
Montanas Credit Unions,3,39,9,33,42,140503,3258180900,437514,7574186849,0.07142857143,0.3211394378,0.4301690683
Nebraska Credit Union League and Affils,4,48,10,42,52,190796,2106673807,569166,6657055786,0.07692307692,0.3352203048,0.316457286
New York Credit Union Association,66,215,12,269,281,5600976,104589141406,6923136,124507478151,0.2348754448,0.809022963,0.8400229686
Ohio Credit Union League,31,174,94,111,205,914994,13214744057,3286656,47451870347,0.1512195122,0.2783966439,0.2784873169
Tennessee Credit Union League,12,117,71,58,129,833823,16879063118,2618847,43051491967,0.09302325581,0.3183931707,0.3920668564
The Credit Union League of Connecticut Inc,16,55,25,46,71,504929,7275032341,953079,14831207049,0.2253521127,0.5297871425,0.4905219324
Utah Credit Union Association,3,52,23,32,55,1434573,22430987315,3945084,60238137251,0.05454545455,0.3636356032,0.3723718617
Virginia Credit Union League,34,55,20,69,89,18935255,243956720978,19909553,259767778144,0.3820224719,0.9510637933,0.9391338784
West Virginia Credit Union League,3,72,3,72,75,37353,488641085,378871,4958988064,0.04,0.09859028535,0.09853645113
Wisconsin Credit Union League,3,104,104,3,107,784276,9016041655,3904551,69818358114,0.02803738318,0.2008620197,0.1291356872
Totals,633,3912,1762,2783,4545,73462788,1195161345453,142857126,2326681732144,0.1392739274,0.5142395767,0.5136763352
