League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,993985,14958326534,993985,14958326534,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,432372,6773970059,435787,6853238232,0.9375,0.9921636029,0.9884334718
California and Nevada Credit Union League,223,35,115,143,258,14039037,292637846072,14405808,299450505920,0.8643410853,0.9745400605,0.9772494629
Carolinas Credit Union League,95,10,37,68,105,6591378,102319253399,6842950,106823942029,0.9047619048,0.9632363235,0.9578307209
Cooperative Credit Union Association,152,17,63,106,169,4752476,78061057190,4840091,79561107059,0.899408284,0.9818980676,0.9811459402
Cornerstone League,600,44,294,350,644,14251070,207523450985,14974647,217453926161,0.9316770186,0.9516798626,0.9543329691
Credit Union Association of New Mexico,35,4,18,21,39,1051339,18341460848,1115903,19136323524,0.8974358974,0.9421419245,0.958463146
CrossState Credit Union Association,316,106,41,381,422,5673103,90128602389,5895556,92826931000,0.7488151659,0.9622676809,0.9709316189
Dakota Credit Union Association,62,0,16,46,62,557759,11365002259,557759,11365002259,1,1,1
GoWest Credit Union Association,242,26,134,134,268,12706192,221157506868,13148681,228113297133,0.9029850746,0.9663472709,0.9695073003
Hawaii Credit Union League,45,0,0,45,45,869664,15995105593,869664,15995105593,1,1,1
Illinois Credit Union League,193,7,153,47,200,4096413,71719909468,4110407,71775530611,0.965,0.996595471,0.9992250682
Indiana Credit Union League,115,13,33,95,128,2773609,44958441648,2806460,45368206296,0.8984375,0.9882945062,0.9909680218
Iowa Credit Union League,63,4,66,1,67,1645176,32862193943,1661188,33111602632,0.9402985075,0.9903611151,0.9924676346
Kentucky's Credit Unions,54,1,18,37,55,966601,15000886601,967300,15006147037,0.9818181818,0.99927737,0.9996494479
Luminate Louisiana Credit Unions,127,16,26,117,143,1280302,16164743756,1292351,16244755214,0.8881118881,0.9906766815,0.9950746283
Maine Credit Union League,48,0,12,36,48,754499,12398712275,754499,12398712275,1,1,1
Maryland & DC Credit Union Association,96,11,7,100,107,2679799,52927794768,2758014,54160485006,0.8971962617,0.9716408256,0.9772400443
Michigan Credit Union League,162,13,111,64,175,5883206,105380887418,5957512,106450433145,0.9257142857,0.9875273436,0.9899526409
Minnesota Credit Union Network,81,3,59,25,84,2161472,41349942133,2176323,41643289195,0.9642857143,0.9931761048,0.9929557183
Mississippi Credit Union Association,57,0,1,56,57,742659,8332724371,742659,8332724371,1,1,1
Montanas Credit Unions,42,0,9,33,42,436550,7639740842,436550,7639740842,1,1,1
Nebraska Credit Union League and Affils,50,1,10,41,51,560360,6590757410,562824,6624473129,0.9803921569,0.9956220772,0.9949104301
New York Credit Union Association,237,40,12,265,277,6739166,121225646505,6909175,124830781648,0.8555956679,0.9753937337,0.9711198224
Ohio Credit Union League,174,30,93,111,204,3097827,44994285878,3275797,47520722348,0.8529411765,0.9456712366,0.9468350575
Tennessee Credit Union League,119,9,70,58,128,2509015,42065942291,2623984,43544854287,0.9296875,0.9561853273,0.9660370434
The Credit Union League of Connecticut Inc,60,10,25,45,70,931250,14733057254,949960,14991451745,0.8571428571,0.9803044339,0.982763878
The League of Credit Unions & Affiliates,325,42,169,198,367,32313108,439493577835,32700782,444649248471,0.8855585831,0.9881448095,0.9884050841
Utah Credit Union Association,53,1,22,32,54,3974923,60492282191,3975786,60494944814,0.9814814815,0.999782936,0.999955986
West Virginia Credit Union League,68,6,3,71,74,362711,4752964659,377372,4895732305,0.9189189189,0.9611497408,0.9708383471
Wisconsin Credit Union League,104,1,102,3,105,3915328,69653190404,3915489,69654064075,0.9904761905,0.9999588813,0.999987457
Totals,4022,451,1731,2742,4473,139742349,2271999263846,143035263,2321875604890,0.8991728147,0.9769783064,0.9785189435
