NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10033120,Avestar Credit Union,WI,Kay E Radloff,Jennifer Kutz
10029306,Bowater ECU,TN,Matt Holden,Ginger Carter
10012651,Westerra Credit Union,CO,Steven Schmidle,Todd Marksberry
10012961,Bridgeport Police FCU,CT,Dawn Cuminotto-Rivera,Dawn Cuminotto
10018340,Baton Rouge Telco FCU,LA,Darryl Long,Danielle Sonnier
10028317,WEST-AIRCOMM FCU,PA,Lynn Stephenson,Scott Brunner
10019288,Members Plus CU,MA,John Murphy,Janis Caines
10013678,Panhandle CU,FL,Justin Hall,Leonard Hall
10021086,Walled Lake School FCU,MI,Catherine Hawes,Cara Richards
10029455,Hardin County Hospital ECU,TN,Andria Stanford,Nikki Cagle
10018592,Noda FCU,LA,Thaedra James,Valjon Lyons
10021525,Toro EFCU,MN,Grant Johnson,Lindsay Hawlk
10023047,1166 FCU,NJ,Annemarie Shinn,Michael DiPlacido
10027197,Clairton Works FCU,PA,Renee Arre,Raven Muir
