ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1652,358,613,1397,2010,3028937,30630606159,3484060,34833784567,0.8218905473,0.8693699305,0.8793361542
$50M-$100M,543,47,229,361,590,3110493,39542468689,3375424,42910607698,0.9203389831,0.9215117864,0.9215080096
$100M-$200M,507,34,220,321,541,5224888,72291233364,5501723,77098834611,0.9371534196,0.9496821269,0.9376436587
$200M-$500M,501,30,233,298,531,10628946,160183214830,11185275,169604569906,0.9435028249,0.9502623762,0.9444510541
$500M-$1B,280,5,148,137,285,12454449,200688186813,12739861,203986539589,0.9824561404,0.9775969298,0.9838305371
$1B-$2B,204,3,118,89,207,16647629,282895931024,16949832,287195333724,0.9855072464,0.9821707377,0.9850296917
$2B-$5B,160,11,97,74,171,29112935,500417781952,31172847,534678010479,0.9356725146,0.9339196705,0.9359236253
$5B-$10B,60,0,36,24,60,21817053,437015356725,21817053,437015356725,1,1,1
> $10B,21,1,10,12,22,35594795,577461243084,38407607,607454313934,0.9545454545,0.9267641954,0.9506249768
Totals,3928,489,1704,2713,4417,137620125,2301126022640,144633682,2394777351233,0.8892913742,0.9515081349,0.9608935133
