ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1641,328,604,1365,1969,3001020,30381892474,3418602,34323912822,0.8334179787,0.8778500685,0.885152361
$50M-$100M,544,40,223,361,584,3122445,39596706448,3328078,42478406523,0.9315068493,0.9382126861,0.9321608245
$100M-$200M,502,31,215,318,533,5171817,71535861600,5415259,75918470487,0.9418386492,0.9550451788,0.9422721657
$200M-$500M,504,26,232,298,530,10727720,161797233297,11212221,169951421513,0.9509433962,0.9567881332,0.9520204765
$500M-$1B,271,5,145,131,276,12056846,194547532196,12337109,197961060802,0.981884058,0.9772829275,0.9827565654
$1B-$2B,205,3,118,90,208,16626594,281803535996,16929851,286116604632,0.9855769231,0.9820874383,0.9849254864
$2B-$5B,159,11,96,74,170,28637296,496142590383,30706126,530597104959,0.9352941176,0.932624845,0.935064639
$5B-$10B,63,0,37,26,63,23248252,455276170181,23248252,455276170181,1,1,1
> $10B,19,1,9,11,20,34810045,556814118450,37558698,586166225879,0.95,0.9268171383,0.9499252838
Totals,3908,445,1679,2674,4353,137402035,2287895641025,144154196,2378789377798,0.8977716517,0.9531601494,0.9617899182
