NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10014161,San Antonio Citizens FCU,FL,Patricia Sarne,Steven Shaffner
10013449,Tidemark FCU,DE,Pamela Fleuette,William Steelman
10018297,Service One Credit Union,KY,Rebecca Stone,Justin Morris
10015110,Earthmover CU,IL,Kelly McDonough,Janel Cabadas
10014561,Southeastern CU,GA,E Michael Gudely,Jennifer Stasio
10025419,CES CU Inc,OH,Sandra Coffing,Michael Copley
10032636,UnitedOne Credit Union,WI,Kimberly Rooney,Kim Rooney
10034970,Promedica FCU,OH,Richard Haas,Raymond Hupp
10034993,Union Building Trades FCU,NJ,Robert Kodan,Daniel Czerniawski
10031802,Langley FCU,VA,Thomas Ryan,Gaurav Bhatia
10013077,Charter Oak FCU,CT,Brian Orenstein,Craig Knell
10031931,Freedom First FCU,VA,Paul Phillips,Linda Johnson
10022836,Clifton NJ Postal EFCU,NJ,joseph patire,Joseph Patire
10026399,Ashland Community FCU,OH,Daniel O'Connell,Christian Dabney
10030982,Prestige Community CU,TX,Sammy Shanafelt,Ron Knight
10032070,iQ Credit Union,WA,Eric Petracca,Eric PETRACCA
10014418,Georgia United CU,GA,Debbie Smith,Laura King
10032726,Landmark Credit Union,WI,Jay Magulski,Timothy Mackay
10038093,KeyPoint CU,CA,Ted Canfield,David Luu
10032123,Salal Credit Union,WA,Russell Rosendal,Kevin Skinner
10011574,Southland Credit Union,CA,Thomas Lent,Deena Otto
10012433,University CU,CA,Estela Nagahashi,Richard Wada
10030431,Amplify CU,TX,Kendall Garrison,Kendall GARRISON
10032000,DuPont Community CU,VA,Stephen Elkins,Barry Smith
10031143,United Credit Union,TX,Sherri McElyea,Sherri Mcelyea
10014062,Innovations Financial CU,FL,David Southall,Michael Gladden
10022714,Granite State CU,NH,Denise BARSTOW,Michele PLAZA
10025447,DAY AIR CU Inc,OH,John Theobald,William Burke
10034645,Princeton FCU,NJ,Samuel Paulicelli,Dana Caragine
10021730,Members Exchange CU,MS,Mitzi Tate,Susan Boshart
10013264,Hartford FCU,CT,Edward Danek,Beth Mazza
10018117,Your Hometown FCU,KY,Mark Spillman,Steve Ladd
10038611,Halifax County Community FCU,VA,William Coleman,Helen Leigh
