NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10016804,Energy Plus CU,IN,43979473,3881,15
10010850,Beverly Hills City EFCU,CA,15739530,1543,4
10012794,Pueblo Govt Agencies FCU,CO,43125162,2964,12
10024854,Piedmont Advantage CU,NC,387181104,28097,97
10032042,CALCOE FCU,WA,43557000,3588,9
10019430,Franklin First FCU,MA,86450195,7339,18
10017002,Harvester Financial CU,IN,81891292,8318,24
10016096,Redbrand CU,IL,73801702,7314,22
10021580,Jackson Area FCU,MS,162360956,15651,32
10014548,LGE Community CU,GA,2326068749,124939,337
10036305,My Credit Union,TX,55242703,5404,23
10024595,Westar Federal Credit Union,NY,33230035,1793,6
10016834,Del Met FCU,IN,8441591,909,3
10013554,HUD FCU,DC,44468156,4943,8
,Totals (14 Credit Unions):,,3405537648,216683,610
