NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10024218,Oneida County FCU,NY,Rebecca Coyne,Juli Eisenhart
10027120,Priority First FCU,PA,Richard Clouse,Alan Clouse
10022585,Silver State Schools CU,NV,Scott Arkills,Ralph Ramirez
10021937,Holy Rosary CU,MO,Carole Wight,Marquita Joshua
10030175,Beacon FCU,TX,Jack McAdoo,Mark Maslonka
10010491,TruService Community FCU,AR,Linda Jeffery,David Durham
10038909,North Miss Health Services EFCU,MS,Daphne Burson,Sally Finney
10021616,Gulf Coast Community FCU,MS,Joshua Peterson,Josh Peterson
10036580,First Care FCU,VA,Lawrence Rackow,Clay Hodges
10038325,Bayou City FCU,TX,Ritana Layne,Ritana Layne-Santafield
10039639,St Patricks Coop CU LTD,,Peter Queeley,Paul Maxwell
10004809,Trinidad and Tobago Police Credit Union,,Neil Marquez,Colin Eddy
