State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,10,81,51,40,91,1287356,14508833247,2737922,37018845271,0.1098901099,0.470194549,0.3919310054
Alaska,1,8,1,8,9,767231,11460496338,992047,14886295438,0.1111111111,0.7733817047,0.7698689298
Arizona,9,25,16,18,34,735525,12201344915,1952638,31408961424,0.2647058824,0.3766827236,0.3884669967
Arkansas,4,47,0,51,51,197966,3212010143,372328,4791529177,0.07843137255,0.5316978578,0.6703517863
California,43,207,111,139,250,4558952,99356007395,14111271,294447783763,0.172,0.323071678,0.33743167
Colorado,13,54,35,32,67,1334731,25869435033,2360576,42341550758,0.1940298507,0.5654259808,0.6109704196
Connecticut,16,55,25,46,71,504929,7275032341,953079,14831207049,0.2253521127,0.5297871425,0.4905219324
Delaware,3,14,0,17,17,108951,1160738226,266549,3072573720,0.1764705882,0.4087466094,0.3777739224
District Of Columbia,12,20,0,32,32,233824,9711636864,296489,10370387618,0.375,0.7886430863,0.9364777115
Florida,31,82,65,48,113,4097566,63327277373,7546145,115992749517,0.2743362832,0.5430012278,0.5459589296
Georgia,5,72,36,41,77,389553,6781058129,2266269,35642096853,0.06493506494,0.1718917745,0.1902541861
Hawaii,6,40,0,46,46,214978,3894285765,873896,15571887094,0.1304347826,0.245999524,0.2500843823
Idaho,4,22,16,10,26,118010,1706804045,1301003,21887169530,0.1538461538,0.09070693918,0.07798194475
Illinois,14,189,156,47,203,2232062,45163269438,4015918,70749214614,0.06896551724,0.5558036793,0.6383571844
Indiana,16,112,33,95,128,1217135,21223393769,2810459,45171003681,0.125,0.4330733877,0.4698455212
Iowa,3,66,67,2,69,61320,866646616,1713055,33328399447,0.04347826087,0.03579569833,0.02600324739
Kansas,2,60,44,18,62,6155,140780352,789081,10629272012,0.03225806452,0.007800213159,0.01324459021
Kentucky,6,50,18,38,56,497577,8911493423,964791,14807472533,0.1071428571,0.5157355324,0.6018240725
Louisiana,15,131,26,120,146,619207,8155195753,1339575,17013809419,0.102739726,0.4622413825,0.4793280301
Maine,1,46,12,35,47,18254,252876083,747465,12159490280,0.02127659574,0.02442121036,0.02079660226
Maryland,20,44,7,57,64,1220404,22831011587,2124707,37595272019,0.3125,0.5743869625,0.6072841174
Massachusetts,17,112,49,80,129,1899132,25282617331,3451215,54480336244,0.1317829457,0.5502792495,0.4640686727
Michigan,15,166,117,64,181,1969919,41177572256,6003275,106474214598,0.08287292818,0.3281407232,0.3867375065
Minnesota,12,73,59,26,85,725427,16828713495,2172536,41788659121,0.1411764706,0.3339079306,0.4027100617
Mississippi,3,56,1,58,59,352667,4357220398,720758,8067141521,0.05084745763,0.4893001534,0.5401194942
Missouri,6,89,84,11,95,474459,5199248952,1839157,24356985360,0.06315789474,0.2579763446,0.2134602815
Montana,3,39,9,33,42,140503,3258180900,437514,7574186849,0.07142857143,0.3211394378,0.4301690683
Nebraska,4,48,10,42,52,190796,2106673807,569166,6657055786,0.07692307692,0.3352203048,0.316457286
Nevada,3,10,8,5,13,88174,1631412540,403308,8173940744,0.2307692308,0.2186269551,0.199587028
New Hampshire,2,11,7,6,13,375812,6069084218,818473,12534284288,0.1538461538,0.459162367,0.4841987048
New Jersey,20,118,6,132,138,198536,4213164833,954481,15037471754,0.1449275362,0.2080041405,0.2801777388
New Mexico,8,32,18,22,40,826649,14641997550,1118946,19374103179,0.2,0.7387747041,0.7557509844
New York,65,215,12,268,280,5599237,104574636655,6921397,124492973400,0.2321428571,0.8089749801,0.8400043296
North Carolina,14,46,29,31,60,3684881,69264983589,5169154,87795580898,0.2333333333,0.7128595898,0.7889347377
North Dakota,1,28,16,13,29,8343,187541099,216037,5502996276,0.03448275862,0.03861838481,0.03407981572
Ohio,31,173,93,111,204,914994,13214744057,3265935,47072129176,0.1519607843,0.2801629549,0.2807339351
Oklahoma,6,47,10,43,53,246588,3973321718,1384585,19392326824,0.1132075472,0.1780952415,0.2048914374
Oregon,11,39,19,31,50,990705,16810318783,2187653,36108673783,0.22,0.4528620398,0.4655479424
Pennsylvania,35,262,37,260,297,2914789,47408858580,4961550,76834820121,0.1178451178,0.5874754865,0.6170230958
Rhode Island,0,15,8,7,15,0,0,492087,10461591405,0,0,0
South Carolina,13,34,8,39,47,1285248,18316274624,1707947,23114877931,0.2765957447,0.7525104702,0.792401962
South Dakota,5,27,0,32,32,50635,708609789,331072,5573854235,0.15625,0.1529425623,0.1271310227
Tennessee,12,117,71,58,129,833823,16879063118,2618847,43051491967,0.09302325581,0.3183931707,0.3920668564
Texas,53,344,163,234,397,5741978,90957656101,10546401,157709653949,0.1335012594,0.5444490495,0.5767412065
Utah,3,52,23,32,55,1434573,22430987315,3945084,60238137251,0.05454545455,0.3636356032,0.3723718617
Vermont,3,13,11,5,16,229427,4029292469,433840,6816416083,0.1875,0.5288286004,0.5911159794
Virginia,39,58,20,77,97,19037401,246185979859,20110099,264388017158,0.4020618557,0.946658741,0.9311540761
Washington,7,69,48,28,76,1857719,35780636914,4870939,89456966595,0.09210526316,0.3813882703,0.3999759692
West Virginia,3,73,3,73,76,37353,488641085,380386,4972195152,0.03947368421,0.09819762031,0.09827471973
Wisconsin,3,104,104,3,107,784276,9016041655,3904551,69818358114,0.02803738318,0.2008620197,0.1291356872
Wyoming,2,17,0,19,19,147058,2158244928,385470,5645321165,0.1052631579,0.3815031001,0.3823068458
Totals,633,3912,1762,2783,4545,73462788,1195161345453,142857126,2326681732144,0.1392739274,0.5142395767,0.5136763352
