ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1656,354,613,1397,2010,3037149,30710460658,3484060,34833784567,0.823880597,0.8717269507,0.8816285982
$50M-$100M,543,47,229,361,590,3110493,39542468689,3375424,42910607698,0.9203389831,0.9215117864,0.9215080096
$100M-$200M,508,33,220,321,541,5234104,72446477290,5501723,77098834611,0.9390018484,0.9513572385,0.939657229
$200M-$500M,503,28,233,298,531,10685880,160977464473,11185275,169604569906,0.9472693032,0.9553524612,0.9491340037
$500M-$1B,280,5,148,137,285,12454449,200688186813,12739861,203986539589,0.9824561404,0.9775969298,0.9838305371
$1B-$2B,204,3,118,89,207,16647629,282895931024,16949832,287195333724,0.9855072464,0.9821707377,0.9850296917
$2B-$5B,163,8,97,74,171,29644909,510134133911,31172847,534678010479,0.9532163743,0.950984971,0.9540959679
$5B-$10B,60,0,36,24,60,21817053,437015356725,21817053,437015356725,1,1,1
> $10B,22,0,10,12,22,38407607,607454313934,38407607,607454313934,1,1,1
Totals,3939,478,1704,2713,4417,141039273,2341864793517,144633682,2394777351233,0.8917817523,0.9751481885,0.97790502
