ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1631,345,604,1372,1976,2983707,30237479379,3420831,34302521714,0.8254048583,0.8722170139,0.8814943587
$50M-$100M,552,43,228,367,595,3184036,40161399242,3425197,43156855188,0.9277310924,0.9295920789,0.9305914221
$100M-$200M,501,36,218,319,537,5129898,71502010014,5420644,76489288997,0.9329608939,0.9463631996,0.9347976815
$200M-$500M,497,29,235,291,526,10572173,159182358312,11122208,168361185448,0.9448669202,0.9505462405,0.9454813346
$500M-$1B,279,5,146,138,284,12368928,199655771362,12643649,202940356193,0.9823943662,0.9782720163,0.9838150238
$1B-$2B,205,3,120,88,208,16820003,283943725380,17123804,288278280324,0.9855769231,0.9822585566,0.9849639906
$2B-$5B,156,11,94,73,167,28246886,488260461463,30262804,522448369432,0.9341317365,0.9333862784,0.934562131
$5B-$10B,60,0,35,25,60,21885431,439908127364,21885431,439908127364,1,1,1
> $10B,19,1,9,11,20,34392967,551142944532,37229404,581718195755,0.95,0.9238119149,0.9474397544
Totals,3900,473,1689,2684,4373,135584029,2263994277048,142533972,2357603180415,0.891836268,0.9512400945,0.9602948859
