ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,47,2107,663,1491,2154,129733,1287938472,3753607,36883304810,0.02181987001,0.03456222242,0.03491928065
$50M-$100M,62,569,240,391,631,414608,4848477726,3752570,45694205999,0.09825673534,0.1104864133,0.1061070571
$100M-$200M,82,465,234,313,547,872209,11889931700,5701096,77690694050,0.1499085923,0.1529897058,0.1530419035
$200M-$500M,95,445,245,295,540,2216432,31021263967,11846680,173934163171,0.1759259259,0.1870930927,0.1783506092
$500M-$1B,69,210,142,137,279,3498728,51335764973,12772073,202055507609,0.247311828,0.2739357973,0.2540676351
$1B-$2B,58,144,120,82,202,5119091,82599937911,16912577,280847547042,0.2871287129,0.3026795384,0.2941095223
$2B-$5B,55,112,95,72,167,10535746,167606336564,29430959,512726609199,0.3293413174,0.357981743,0.3268922142
$5B-$10B,28,31,37,22,59,10732001,204745442668,21334200,419456648704,0.4745762712,0.5030421108,0.4881206277
> $10B,9,12,10,11,21,24049992,374631586524,35911961,576770075194,0.4285714286,0.6696930864,0.6495336749
Totals,505,4095,1786,2814,4600,57568540,929966680505,141415723,2326058755778,0.1097826087,0.4070872657,0.3998036069
