NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10032279,Community 1st CU,WA,Dan Lefree,Dan LeFree
10027851,PC FCU,PA,Karol Hinchey,Jean Bonser
10012961,Bridgeport Police FCU,CT,Dawn Cuminotto,Dawn Cuminotto-Rivera
10023323,Railroad Employees Credit Union,NM,Gerry Troyer,Matthew Soto
10024227,Oswego Teachers EFCU,NY,Kelly Trepasso,Joseph Dwyer
10018107,The Health and Education FCU,KY,Pam Henson,Joseph Staff
10023810,Inner Lakes FCU,NY,Travis Heiser,Carl Swan
10018629,CENLA FCU,LA,Cindy Sansing,Lewis McBryde
10010746,Sea West Coast Guard FCU,CA,Tom Doherty,Michael Kenny
10024559,First Source FCU,NY,Thomas Neumann,John Calabrese
10020201,COPOCO Community CU,MI,Doreen Smith,David Brandt
10016480,DuPage CU,IL,Diane Shelton,Roberta Kozlowicz
10000915,New Life FCU,PA,Ronald Sheldon Jr,Ronald Sheldon
10033357,WEA CU,WI,Mark Schrimpf,Cassandra Thom
