ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1653,374,620,1407,2027,3020791,30473212301,3502323,34973197579,0.8154908732,0.8625106822,0.8713304591
$50M-$100M,553,50,231,372,603,3191233,40248288509,3470492,43710517489,0.9170812604,0.9195333111,0.9207918556
$100M-$200M,504,37,221,320,541,5172844,72066413862,5461868,77098484825,0.9316081331,0.9470833056,0.9347319085
$200M-$500M,499,31,236,294,530,10609999,159804925114,11196698,169488340701,0.941509434,0.9476007123,0.9428667745
$500M-$1B,284,4,148,140,288,12552015,202988646811,12790699,205739373019,0.9861111111,0.9813392528,0.9866300448
$1B-$2B,204,4,120,88,208,16759551,282703081550,17123804,288278280324,0.9807692308,0.9787282662,0.9806603579
$2B-$5B,160,11,96,75,171,29028014,501188959156,31043932,535376867125,0.9356725146,0.9350624141,0.9361423512
$5B-$10B,60,1,36,25,61,22244793,444727399998,22443602,449907796579,0.9836065574,0.9911418408,0.9884856483
> $10B,19,1,9,11,20,34392967,551142944532,37229404,581718195755,0.95,0.9238119149,0.9474397544
Totals,3936,513,1717,2732,4449,136972207,2285343871833,144262822,2386291053396,0.8846931895,0.949462967,0.9576970372
