State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Guam,2,0,0,2,2,64374,787419113,64374,787419113,1,1,1
Puerto Rico,3,2,0,5,5,98101,1148252070,102410,1178264858,0.6,0.9579240309,0.9745279783
Virgin Islands,3,2,0,5,5,13682,125502006,17375,158675454,0.6,0.7874532374,0.7909352256
Totals,8,4,0,12,12,176157,2061173189,184159,2124359425,0.6666666667,0.9565484174,0.9702563346
