League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,795930,13041952177,1025104,16646542246,0.1111111111,0.7764382931,0.7834631351
Association of Vermont Credit Unions,3,10,8,5,13,237791,4182244670,441313,6979988720,0.2307692308,0.5388261846,0.5991764225
California and Nevada Credit Union League,47,207,111,143,254,5903325,118538174491,14966661,299792267191,0.1850393701,0.3944316638,0.3954010409
Carolinas Credit Union League,25,78,36,67,103,5087841,88259310850,6942691,111616877483,0.2427184466,0.7328341417,0.7907344556
Connecticut?s Credit Unions,15,49,25,39,64,474409,7061078072,901658,14636112993,0.234375,0.5261518225,0.4824421672
Cooperative Credit Union Association,19,142,61,100,161,1132977,20321392853,3722675,68258609401,0.1180124224,0.3043448595,0.297711791
Cornerstone League,68,566,288,346,634,6725473,107672642422,14636499,217860035364,0.1072555205,0.4595001168,0.4942285181
Credit Union Association of New Mexico,8,29,18,19,37,835332,15228386530,1128873,20176952901,0.2162162162,0.7399698637,0.7547416404
CrossState Credit Union Association,51,350,37,364,401,3132691,54098797115,5910627,95167792631,0.1271820449,0.5300099296,0.5684569918
Dakota Credit Union Association,6,56,16,46,62,59088,943418316,565043,11743286392,0.09677419355,0.1045725724,0.08033682263
GoWest Credit Union Association,45,217,131,131,262,5433319,95962815534,13615438,238870133640,0.1717557252,0.399055763,0.4017363497
Hawaii Credit Union League,5,40,0,45,45,219813,4386474478,879211,16700059411,0.1111111111,0.2500116582,0.262662208
Illinois Credit Union League,15,178,151,42,193,2389612,47659435075,4195713,74714997121,0.07772020725,0.5695365722,0.6378831147
Indiana Credit Union League,16,108,31,93,124,1217609,22435187967,2807051,47602088701,0.1290322581,0.4337680363,0.4713067972
Iowa Credit Union League,2,64,65,1,66,19827,251989416,1627829,34012480871,0.0303030303,0.01218002628,0.007408733781
Kentucky's Credit Unions,6,47,17,36,53,522128,9713149634,990394,15758274784,0.1132075472,0.5271922084,0.6163840755
Luminate Louisiana Credit Unions,14,124,24,114,138,574060,7624690357,1290613,16755530751,0.1014492754,0.4447963875,0.4550551379
Maine Credit Union League,1,47,12,36,48,18762,278150739,766689,12989817237,0.02083333333,0.02447146105,0.02141298326
Maryland & DC Credit Union Association,38,65,7,96,103,1701145,37165163114,2798253,55719168528,0.3689320388,0.6079310913,0.6670085735
Michigan Credit Union League,15,155,111,59,170,2003097,42623987841,6070606,111472386374,0.08823529412,0.3299665635,0.3823726147
Minnesota Credit Union Network,10,71,58,23,81,346234,7569994789,1811273,33351973371,0.1234567901,0.1911550606,0.2269729202
Montana?s Credit Unions,3,38,9,32,41,144215,3326928338,441795,7870799831,0.07317073171,0.3264296789,0.4226925356
Nebraska Credit Union League and Affils,4,46,10,40,50,189184,2197574062,563093,6783489448,0.08,0.335972921,0.3239592364
New York Credit Union Association,64,206,11,259,270,5786729,108490464934,7107001,129036700888,0.237037037,0.8142293775,0.8407721539
Ohio Credit Union League,31,163,89,105,194,936527,13352150411,3277284,48563194492,0.1597938144,0.2857631502,0.2749438242
Tennessee League and Mississippi Credit Union Association,15,167,70,112,182,1273186,23537133177,3507284,55846379033,0.08241758242,0.3630119488,0.4214621178
The League of Credit Unions & Affiliates,81,274,160,195,355,25669699,345267631052,33553586,464731243268,0.2281690141,0.7650359339,0.7429404329
Utah Credit Union Association,4,49,21,32,53,1773893,27703737868,4120388,65196363841,0.07547169811,0.4305160097,0.424927653
West Virginia Credit Union League,3,71,3,71,74,35662,495075234,375783,5065546359,0.04054054054,0.09490051439,0.09773382749
Wisconsin Credit Union League,3,97,98,2,100,759643,8896646684,3910367,72454956365,0.03,0.1942638632,0.1227886556
Totals,618,3722,1679,2661,4340,75399201,1238285778200,143950795,2376374049636,0.1423963134,0.5237845404,0.521082015
