ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1732,334,631,1435,2066,3185720,31384743815,3596693,35260876221,0.8383349468,0.885735869,0.8900727145
$50M-$100M,567,47,237,377,614,3315939,40739610860,3577008,44130302608,0.9234527687,0.9270147006,0.9231663608
$100M-$200M,509,35,227,317,544,5351464,72294826399,5635526,77124051939,0.9356617647,0.9495944123,0.9373836641
$200M-$500M,504,23,232,295,527,10961212,161235145244,11375545,168167024527,0.9563567362,0.963576866,0.9587797947
$500M-$1B,278,5,146,137,283,12633561,199486163010,12913779,202904024869,0.9823321555,0.9783008521,0.9831552782
$1B-$2B,200,3,117,86,203,16555563,275496315837,16814882,280744314237,0.9852216749,0.9845780066,0.9813068399
$2B-$5B,162,7,96,73,169,29355580,501145821071,30743095,523364760989,0.9585798817,0.9548674263,0.9575459764
$5B-$10B,59,0,36,23,59,21867804,429536307618,21867804,429536307618,1,1,1
> $10B,20,0,9,11,20,36698411,562819136723,36698411,562819136723,1,1,1
Totals,4031,454,1731,2754,4485,139925254,2274138070577,143222743,2324050799731,0.8987736901,0.9769764988,0.9785233915
