NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10025070,University FCU,"1575 17th Ave S, Grand Forks, ND 58201-5301","2600 Red Jarrett Way, Grand Forks, ND 58203"
10020542,DFCU Financial,"400 Town Center Dr, Dearborn, MI 48126-2753","400 Town Center DrIve, Dearborn, MI 48126-2753"
