ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,67,2055,649,1473,2122,174930,1763773661,3705127,36055927388,0.0315739868,0.04721295653,0.04891771725
$50M-$100M,79,552,241,390,631,484846,5993914874,3717526,45535077040,0.1251980983,0.1304216837,0.1316329139
$100M-$200M,93,451,236,308,544,1000452,13508380142,5777974,77497349935,0.1709558824,0.1731492734,0.1743076396
$200M-$500M,127,405,236,296,532,2831340,40630585206,11626779,171536766139,0.2387218045,0.2435188628,0.2368622548
$500M-$1B,70,210,144,136,280,3362550,50364326956,12910223,202070358794,0.25,0.2604563841,0.2492415377
$1B-$2B,76,126,115,87,202,6716924,107512743579,16889236,280014567440,0.3762376238,0.3977044314,0.3839541084
$2B-$5B,78,90,96,72,168,14840354,241437422560,30604872,523113884524,0.4642857143,0.4849016849,0.4615389301
$5B-$10B,36,21,35,22,57,13871495,272427835440,21041278,414431034338,0.6315789474,0.6592515436,0.6573538487
> $10B,14,7,10,11,21,30669688,469347888373,36770403,578588217729,0.6666666667,0.8340862623,0.811195033
Totals,640,3917,1762,2795,4557,73952579,1202986870791,143043418,2328843183327,0.1404432741,0.5169939312,0.5165598437
