ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1643,346,608,1381,1989,3010519,30478956126,3442233,34477267435,0.8260432378,0.8745831558,0.8840305045
$50M-$100M,553,44,229,368,597,3189782,40258462080,3436494,43310014970,0.9262981575,0.9282082262,0.9295416339
$100M-$200M,504,35,219,320,539,5161368,71970625716,5442844,76801107061,0.9350649351,0.9482851245,0.9371040141
$200M-$500M,499,28,236,291,527,10639348,160061833352,11146165,168716142528,0.9468690702,0.9545299213,0.9487049132
$500M-$1B,279,5,146,138,284,12368928,199655771362,12643649,202940356193,0.9823943662,0.9782720163,0.9838150238
$1B-$2B,205,3,120,88,208,16820003,283943725380,17123804,288278280324,0.9855769231,0.9822585566,0.9849639906
$2B-$5B,159,8,94,73,167,28769827,498042566937,30262804,522448369432,0.9520958084,0.9506662701,0.9532857141
$5B-$10B,61,0,36,25,61,22443602,449907796579,22443602,449907796579,1,1,1
> $10B,20,0,9,11,20,37229404,581718195755,37229404,581718195755,1,1,1
Totals,3923,469,1697,2695,4392,139632781,2316037933287,143170999,2368597530277,0.8932149362,0.9752867688,0.9778098236
