League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,973250,15401528809,973250,15401528809,1,1,1
Association of Vermont Credit Unions,14,2,11,5,16,418732,6519250184,426314,6623471042,0.875,0.9822149871,0.9842649183
California and Nevada Credit Union League,214,56,121,149,270,11866106,252028954815,14094049,301521203324,0.7925925926,0.8419231408,0.8358581487
Carolinas Credit Union League,98,11,37,72,109,6308226,99961274656,6745766,106937516320,0.8990825688,0.9351385743,0.9347633842
Cooperative Credit Union Association,148,26,66,108,174,3232007,58861532688,4829078,78695704647,0.8505747126,0.6692803471,0.7479637288
Cornerstone League,602,66,308,360,668,13115268,186478162218,14872259,214766433510,0.9011976048,0.8818611887,0.8682835542
Credit Union Association of New Mexico,37,3,18,22,40,987393,16651864337,1081684,17930284441,0.925,0.91282944,0.9287005118
CrossState Credit Union Association,307,134,45,396,441,3967104,56133111760,5862076,89297768965,0.6961451247,0.6767404585,0.6286059821
Dakota Credit Union Association,57,4,16,45,61,532176,10759512205,537025,10831675601,0.9344262295,0.9909706252,0.993337744
GoWest Credit Union Association,239,36,134,141,275,11642009,201976085445,12892061,224359344799,0.8690909091,0.9030370706,0.9002347802
Hawaii Credit Union League,47,0,0,47,47,869628,15239670466,869628,15239670466,1,1,1
Illinois Credit Union League,191,16,159,48,207,2967335,45302674343,3991674,68896850373,0.922705314,0.7433810978,0.657543474
Indiana Credit Union League,113,16,34,95,129,2542663,38510356366,2804410,43690956050,0.8759689922,0.9066659297,0.8814262687
Iowa Credit Union League,65,3,67,1,68,1616279,32514785238,1632195,32774706316,0.9558823529,0.9902487142,0.9920694613
Kentucky's Credit Union,54,1,18,37,55,974140,14210891375,974886,14216298741,0.9818181818,0.9992347823,0.9996196362
League of Southeastern Credit Unions,246,40,156,130,286,9514000,137906430840,12283919,182745937478,0.8601398601,0.7745085261,0.7546347281
Louisiana Credit Union League,130,20,26,124,150,1320935,16308987087,1344672,16503084550,0.8666666667,0.982347368,0.9882387161
Maine Credit Union League,47,0,12,35,47,731678,11687844792,731678,11687844792,1,1,1
Maryland & DC Credit Union Association,89,21,7,103,110,2227420,43227573408,2699173,52534996071,0.8090909091,0.8252231332,0.8228338563
Michigan Credit Union League,177,10,121,66,187,4687933,74657238831,5975525,102695781089,0.9465240642,0.7845223641,0.7269747407
Minnesota Credit Union Network,78,6,59,25,84,2007689,38015404329,2062590,38902755984,0.9285714286,0.9733824948,0.9771905195
Mississippi Credit Union Association,61,0,1,60,61,732643,7977729308,732643,7977729308,1,1,1
Montanas Credit Unions,42,1,9,34,43,413900,7336521035,429377,7548242286,0.976744186,0.963954753,0.9719509201
Nebraska Credit Union League and Affils,50,3,10,43,53,517863,5855020123,567269,6514805705,0.9433962264,0.9129055175,0.8987252096
New York Credit Union Association,217,68,12,273,285,4429515,85749840330,6724982,121581582321,0.7614035088,0.6586657035,0.7052864315
Ohio Credit Union League,172,37,95,114,209,2770609,38284992877,3250202,46137764309,0.8229665072,0.8524420944,0.8297973136
Tennessee Credit Union League,122,9,74,57,131,2289970,37421538628,2566380,40624320111,0.9312977099,0.8922957629,0.9211609825
The Credit Union League of Connecticut Inc,57,18,25,50,75,789761,12815686957,955493,14935878709,0.76,0.8265481798,0.8580470695
Utah Credit Union Association,54,2,24,32,56,3504931,52432244608,3743437,55394339416,0.9642857143,0.9362868936,0.946527121
Virginia Credit Union League,72,17,21,68,89,15808554,206698666757,19163006,251054803674,0.808988764,0.8249516803,0.8233208994
West Virginia Credit Union League,70,6,3,73,76,350495,4578226334,377450,4882567372,0.9210526316,0.9285865678,0.9376678262
Wisconsin Credit Union League,107,3,107,3,110,3382126,62388136087,3852002,67720365682,0.9727272727,0.8780177165,0.9212610632
Totals,3986,635,1797,2824,4621,117492338,1893891737236,140046153,2270626212261,0.8625838563,0.8389544124,0.8340834467
