NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10016203,St Jude CU,IL,283306,82,0,10016189,2026-02-01
10018203,Modern EFCU,KY,5654878,517,3,10018300,2026-01-01
10012712,Haxtun Community FCU,CO,5346950,715,5,10012871,2026-01-01
10027950,CommonRoots FCU,PA,15441626,1755,6,10025518,2026-01-01
10012829,Mountain River CU,CO,31439795,3056,9,10012611,2026-01-01
10027019,Ambridge Area FCU,PA,12042782,974,3,10027017,2026-01-01
10023624,Cattaraugus County EFCU,NY,17840994,1606,4,10034884,2026-01-17
10024054,Focus First FCU,NY,10898836,903,4,10024242,2026-01-02
10027430,Greater Latrobe Schools FCU,PA,2030637,339,1,10034849,2026-02-01
10024165,Niagara Frontier Federal Municipal ECU,NY,2091101,278,2,10024166,2026-02-03
10029906,Everman Parkway CU,TX,3939528,564,2,10030485,2026-02-01
10019015,Cecil County School EFCU,MD,26050496,2527,6,10019158,2026-02-01
10031419,Nebo CU,UT,144883462,12976,40,10031316,2026-02-01
10031447,Provo Police and Fire Dept CU,UT,1592315,625,2,10031450,2026-01-01
10019873,Springfield St Railway ECU,MA,1172147,166,1,10019869,2026-01-02
10036366,Coral Community FCU,FL,40212492,3636,8,10013688,2026-02-01
10030720,Peco FCU,TX,3660294,810,2,10036305,2026-02-01
10013798,Electricians Local 349 CU,FL,4854449,619,3,10013799,2026-01-01
10060117,Capital FCU,TX,5321220,821,81,10030769,2026-01-02
,Totals (19 Credit Unions):,,334757308,32969,182,,
