ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,31,6,25,31,0,0,3649,4014879,0,0,0
$200K-$500K,0,61,18,43,61,0,0,13388,21453406,0,0,0
$500K-$1M,0,65,19,46,65,0,0,18804,47321539,0,0,0
$1M-$2M,0,110,33,77,110,0,0,39527,158003410,0,0,0
$2M-$5M,3,252,71,184,255,1290,9979375,166920,883624577,0.01176470588,0.007728253055,0.01129368202
$5M-$10M,8,337,99,246,345,7809,54747280,357211,2456502457,0.0231884058,0.02186102892,0.0222866783
$10M-$20M,10,435,129,316,445,21046,138760443,747255,6417942207,0.02247191011,0.02816441509,0.02162070622
$20M-$50M,46,729,260,515,775,145370,1617199138,2273838,25523461309,0.05935483871,0.06393155537,0.06336127841
$50M-$100M,74,545,239,380,619,447147,5619201994,3612149,44546481584,0.1195476575,0.123789744,0.1261424425
$100M-$200M,95,449,230,314,544,1019073,13805358228,5651622,77198170119,0.1746323529,0.1803151378,0.1788301226
$200M-$500M,125,403,233,295,528,2747914,39806748699,11403327,168612961397,0.2367424242,0.2409747611,0.236083563
$500M-$1B,71,215,147,139,286,3300706,51199586778,13016975,204732647127,0.2482517483,0.2535693585,0.2500802266
> $1B,204,246,258,192,450,66513713,1085513758203,106061049,1795102752637,0.4533333333,0.6271266749,0.604708425
Totals,636,3878,1742,2772,4514,74204068,1197765340138,143365714,2325705336648,0.1408949934,0.5175858713,0.5150116488
