League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,992047,14886295438,992047,14886295438,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,430419,6739001165,433840,6816416083,0.9375,0.9921146045,0.9886428708
California and Nevada Credit Union League,228,35,119,144,263,14007767,293690104771,14514579,302621724507,0.8669201521,0.965082556,0.9704858607
Carolinas Credit Union League,100,7,37,70,107,6645971,106766118539,6877101,110910458829,0.9345794393,0.9663913617,0.9626334583
Cooperative Credit Union Association,154,17,64,107,171,4818174,77640229774,4913336,79263720189,0.9005847953,0.9806318965,0.9795178625
Cornerstone League,612,46,301,357,658,14235162,207245318512,14931552,216879767322,0.9300911854,0.9533611777,0.955577005
Credit Union Association of New Mexico,36,4,18,22,40,1054543,18593087038,1118946,19374103179,0.9,0.9424431563,0.9596876235
CrossState Credit Union Association,328,106,43,391,434,5699236,89081859014,5914292,91857787124,0.7557603687,0.963637913,0.9697801548
Dakota Credit Union Association,57,4,16,45,61,541763,11003325018,547109,11076850511,0.9344262295,0.9902286382,0.9933622384
GoWest Credit Union Association,253,18,133,138,271,12962963,224883602320,13037558,226468902084,0.9335793358,0.9942784531,0.992999923
Hawaii Credit Union League,46,0,0,46,46,873896,15571887094,873896,15571887094,1,1,1
Illinois Credit Union League,195,9,156,48,204,4041824,71296099498,4056347,71356476152,0.9558823529,0.996419685,0.9991538728
Indiana Credit Union League,115,13,33,95,128,2777256,44759196393,2810459,45171003681,0.8984375,0.9881859155,0.9908833709
Iowa Credit Union League,64,4,67,1,68,1656529,32472891852,1672626,32721137909,0.9411764706,0.9903762108,0.9924132817
Kentucky's Credit Unions,55,1,18,38,56,964065,14802078000,964791,14807472533,0.9821428571,0.9992475054,0.9996356885
League of Southeastern Credit Unions,257,24,152,129,281,12217853,184089242988,12550336,188653691641,0.9145907473,0.9735080399,0.9758051453
Luminate Louisiana Credit Unions,130,16,26,120,146,1327620,16932309622,1339575,17013809419,0.8904109589,0.9910755277,0.9952097855
Maine Credit Union League,47,0,12,35,47,747465,12159490280,747465,12159490280,1,1,1
Maryland & DC Credit Union Association,95,13,7,101,108,2611731,51983016241,2738245,53884171207,0.8796296296,0.953797414,0.9647177469
Michigan Credit Union League,176,5,117,64,181,5976380,106027294151,6003275,106474214598,0.9723756906,0.9955199454,0.9958025476
Minnesota Credit Union Network,81,4,59,26,85,2153814,41436114046,2172536,41788659121,0.9529411765,0.9913824213,0.9915636184
Mississippi Credit Union Association,59,0,1,58,59,720758,8067141521,720758,8067141521,1,1,1
Montanas Credit Unions,42,0,9,33,42,437514,7574186849,437514,7574186849,1,1,1
Nebraska Credit Union League and Affils,51,1,10,42,52,566656,6622729698,569166,6657055786,0.9807692308,0.9955900388,0.9948436532
New York Credit Union Association,241,40,12,269,281,6762103,121794366027,6923136,124507478151,0.8576512456,0.9767398763,0.9782092436
Ohio Credit Union League,176,29,94,111,205,3228757,46741966432,3286656,47451870347,0.8585365854,0.9823836142,0.9850394956
Tennessee Credit Union League,120,9,71,58,129,2403523,40974390979,2618847,43051491967,0.9302325581,0.9177790837,0.9517531009
The Credit Union League of Connecticut Inc,60,11,25,46,71,936536,14634188229,953079,14831207049,0.8450704225,0.9826425721,0.9867159282
Utah Credit Union Association,53,2,23,32,55,3943888,60234374653,3945084,60238137251,0.9636363636,0.9996968379,0.9999375379
Virginia Credit Union League,79,10,20,69,89,19895782,259669494029,19909553,259767778144,0.8876404494,0.999308322,0.9996216462
West Virginia Credit Union League,70,5,3,72,75,366973,4832137269,378871,4958988064,0.9333333333,0.9685961713,0.9744200241
Wisconsin Credit Union League,105,2,104,3,107,3903037,69789439924,3904551,69818358114,0.9813084112,0.9996122473,0.9995858082
Totals,4109,436,1762,2783,4545,139902005,2282992977364,142857126,2326681732144,0.904070407,0.9793141506,0.9812227198
