ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1798,305,642,1461,2103,3317237,32444784926,3679593,35806843493,0.8549690918,0.9015228043,0.9061056983
$50M-$100M,586,40,238,388,626,3466674,42276787379,3686656,45181193596,0.9361022364,0.9403302071,0.9357164788
$100M-$200M,506,33,233,306,539,5447070,72159766903,5709746,76665696286,0.9387755102,0.9539951514,0.9412262641
$200M-$500M,510,22,236,296,532,11245380,164436123136,11626779,171536766139,0.9586466165,0.9671965039,0.9586057079
$500M-$1B,271,8,144,135,279,12464628,196375376855,12893780,201550526822,0.9713261649,0.9667163547,0.9743233121
$1B-$2B,201,1,115,87,202,16799961,278155208843,16889236,280014567440,0.995049505,0.9947140889,0.9933597791
$2B-$5B,162,6,96,72,168,29312195,503376185480,30604872,523113884524,0.9642857143,0.9577623785,0.9622688297
$5B-$10B,57,0,35,22,57,21041278,414431034338,21041278,414431034338,1,1,1
> $10B,21,0,10,11,21,36770403,578588217729,36770403,578588217729,1,1,1
Totals,4112,415,1749,2778,4527,139864826,2282243485589,142902343,2326888730367,0.9083278109,0.9787441064,0.9808133306
