NIMBLE_CUNA_ID,NAME,STATE_ABR,Old Street Address,New Street Address
10011286,Excite Credit Union,CA,"265 Curtner Ave, San Jose, CA 95125-1404","151 Bernal Road, San Jose, CA 95119"
10026863,Unitus Community CU,OR,"1300 SW 6th Ave, Portland, OR 97201-3464","7632 Southwest Durham Road, Tigard, OR 97224-7584"
10029557,Appalachian Community FCU,TN,"5034 Bobby Hicks Hwy Ste 2, Gray, TN 37615-6214","201 East New Street, Kingsport, TN 37660"
10015248,Consumers Credit Union,IL,"1075 Tri State Pkwy Ste 850, Gurnee, IL 60031-9182","300 North Field Drive, Lake Forest, IL 60045"
