State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,74,17,51,40,91,2549585,33465751496,2729921,36371271683,0.8131868132,0.9339409455,0.9201149684
Alaska,9,0,1,8,9,977893,15381677269,977893,15381677269,1,1,1
Arizona,30,5,16,19,35,1361923,20868481995,1956903,31490391261,0.8571428571,0.6959583587,0.6626936395
Arkansas,47,4,0,51,51,208250,2168839777,366073,4656293895,0.9215686275,0.5688756068,0.465786702
California,198,56,112,142,254,11617591,249652428554,13827048,298887284252,0.7795275591,0.8402076134,0.8352728326
Colorado,50,17,35,32,67,2082163,38247480940,2327045,42616663470,0.7462686567,0.8947669684,0.8974771328
Connecticut,56,17,25,48,73,795390,13045498245,940606,15041951358,0.7671232877,0.845614423,0.8672743273
Delaware,16,1,0,17,17,243064,2731265103,264335,3201711772,0.9411764706,0.9195301417,0.8530640162
District Of Columbia,27,5,0,32,32,265446,9954579448,293993,10350342794,0.84375,0.9028990486,0.961763262
Florida,100,13,65,48,113,5091395,78494945672,7411055,116251777951,0.8849557522,0.687000029,0.6752150122
Georgia,67,12,38,41,79,1869242,28606396846,2265748,35745553737,0.8481012658,0.8249999559,0.8002784642
Hawaii,47,0,0,47,47,874682,15381030374,874682,15381030374,1,1,1
Idaho,21,5,16,10,26,1234886,20655113098,1260376,21381108021,0.8076923077,0.9797758764,0.9660450281
Illinois,189,16,157,48,205,2920025,45973438351,3967595,71188770257,0.9219512195,0.7359685149,0.6457962146
Indiana,113,16,34,95,129,2546390,39784891143,2810005,45183309276,0.8759689922,0.9061869997,0.8805218516
Iowa,65,4,67,2,69,1668763,33234429630,1685133,33492138049,0.9420289855,0.9902856332,0.9923054056
Kansas,57,7,45,19,64,767991,10261925535,783059,10495643586,0.890625,0.9807575164,0.977731899
Kentucky,55,1,18,38,56,981010,14556031673,981747,14561531497,0.9821428571,0.9992492974,0.9996223046
