State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Guam,2,0,0,2,2,60701,780299957,60701,780299957,1,1,1
Puerto Rico,3,2,0,5,5,97453,1154512302,101808,1184697442,0.6,0.9572234009,0.9745208026
Virgin Islands,1,4,0,5,5,8406,84761800,17556,157353221,0.2,0.478810663,0.5386721636
Totals,6,6,0,12,12,166560,2019574059,180065,2122350620,0.5,0.9249993058,0.9515741838
