NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10018154,Bluegrass Community FCU,KY,12320803,1850,4
10033987,KaiPerm Northwest FCU,OR,119290384,5558,12
10019874,Arrha Credit Union,MA,159519304,9850,33
10024531,Union Congregational FCU,NY,2241,1,0
10014483,GP FCU,GA,143712844,9593,23
10022233,CommunityAmerica Credit Union,KS,5443738279,380564,1051
10018245,Rural Cooperatives CU Inc,KY,33703033,3094,11
10014600,Coca-Cola FCU,GA,202155872,14429,38
10032454,CAPE Federal Credit Union,WV,16177310,1184,3
,Totals (9 Credit Unions):,,6130620070,426123,1175
