ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1780,373,663,1490,2153,3285487,32401114233,3753399,36882579849,0.8267533674,0.8753364617,0.8784937053
$50M-$100M,562,70,240,392,632,3380568,40709611282,3761604,45775447606,0.8892405063,0.8987038508,0.8893328937
$100M-$200M,489,59,235,313,548,5172237,69545408907,5715146,77847880756,0.8923357664,0.9050052265,0.8933500595
$200M-$500M,463,76,244,295,539,10357434,149833633332,11828966,173707174183,0.8589981447,0.8755992705,0.862564451
$500M-$1B,253,26,142,137,279,11575443,183676040939,12772073,202055507609,0.9068100358,0.9063088662,0.9090375368
$1B-$2B,181,21,120,82,202,15044506,251801602094,16912577,280847547042,0.896039604,0.8895454548,0.8965775373
$2B-$5B,130,37,95,72,167,23016635,397294141844,29430959,512726609199,0.7784431138,0.7820552161,0.7748654638
$5B-$10B,47,12,37,22,59,16858044,332031229226,21334200,419456648704,0.7966101695,0.7901887111,0.7915746007
> $10B,15,6,10,11,21,28791853,467803283226,35911961,576770075194,0.7142857143,0.8017343581,0.8110741235
Totals,3920,680,1786,2814,4600,117482207,1925096065083,141420885,2326069470142,0.852173913,0.8307274205,0.8276176141
