NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10022791,Advanced Financial FCU,NJ,Sandy Mullins,Sandra Mullins
10013298,Sound Federal Credit Union Inc,CT,Mary Shepard,Megan Legault
10029501,Enrichment FCU,TN,Jeremy Hodges,James Hayes
10011262,Noble CU,CA,Angelino CAYANAN,Angelino Cayanan
10024536,United Nations FCU,NY,John Lewis,Pamela Agnone
10018977,First Peoples Community FCU,MD,Randy Olson,Randy Olsen
10030910,Security Service FCU,TX,James Laffoon,Mike Chapman
10016555,CapEd Credit Union,ID,Todd Erickson,Ray Lindley
10030791,Red River Credit Union,TX,Bradley Bailey,Brad Bailey
10032574,Strip Steel Community FCU,WV,John Stoica,Ronald Komorowski
10022366,Community 1st FCU,MT,Todd Gillette,Tristan Henke
10029979,BCM FCU,TX,Tony Black,April Comeaux
10037775,Texas Assn of Professionals FCU,TX,Paula Grigsby,Daniel Cruhm
10028256,URE FCU,PA,Beth Savulak,Paul Weir
10016410,Alliant CU,IL,Kenneth Schaafsma,Mike Dobbins
10030147,DATCU,TX,Glen McKenzie,Melanie Vest
10010922,Central State CU,CA,Tiffany Chisnall,Paul Kramer
10016366,Tee Pak CU,IL,Amber Hahn,McKenna Hughes
10026618,Teachers CU,OK,Griselda Spencer,Lindsay Vera
