NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10029417,FedTrust FCU,TN,Richard Ussery,Christina Smith
10018809,Acadia FCU,ME,David Desjardins,Joey Cannan
10016768,Allegius FCU,IN,Kenneth Zagrocki,Karin Birchel
10014675,Georgia Heritage FCU,GA,Dale Taratuta,Matt Selke
10028037,BVA FCU,PA,Lyn Sokol,Lyn A Sokol
10028025,Stanwood Area FCU,PA,Charlie Frederickson,Charles Frederickson
10029174,Dakota Rail Line FCU,SD,Rochelle Gondzar,Shelby Gondzar
10014255,Tyndall FCU,FL,James Warren,John Parillo
10010766,Honda Federal Credit Union,CA,Steve Brandon,Kenneth Fischbach
10016666,Connections CU,ID,Brian Osberg,Jamie Simmons
10018181,Louisville Gas and Electric Co CU,KY,Shari Beaven,Shari Vittitow
10012790,Canvas Credit Union,CO,Colleen Knoll,Chad Shane
10023313,Rio Grande Credit Union,NM,Christine Dawe,Tony Dees
10032312,Responders Emergency Services CU,WA,Joyce Lockard,Joyce A. Lockard
10033031,Westconsin Credit Union,WI,Lora Benrud,James Wookey
10021979,KC Unidos FCU,MO,Ismael Gallegos,Stacey Calderon
10034849,IU 7 FCU,PA,Jordan Elias,Bill Costan
10034494,UNO FCU,LA,Christopher Maurer,Chris Maurer
10011811,OE Federal Credit Union,CA,Jeff Hampton,Jeffrey Hampton
10012476,CoastHills CU,CA,Paul Cook,James Ledford
10019987,Workers CU,MA,Jay Champion,James Champion
