ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1807,333,655,1485,2140,3328303,32758646964,3715832,36338094146,0.8443925234,0.8957086865,0.9014960122
$50M-$100M,588,44,245,387,632,3502550,42478958823,3744406,45595163132,0.9303797468,0.9354087137,0.9316549367
$100M-$200M,512,32,230,314,544,5458519,72863809194,5705981,77172061409,0.9411764706,0.9566311209,0.9441734206
$200M-$500M,513,25,242,296,538,11340649,164946869017,11759813,172879608578,0.9535315985,0.9643562359,0.9541140819
$500M-$1B,272,9,145,136,281,12511145,196827894464,13006803,202882470126,0.9679715302,0.9618924035,0.9701572262
$1B-$2B,200,2,115,87,202,16717865,277956071570,16931340,281290165088,0.9900990099,0.9873917245,0.988147138
$2B-$5B,160,6,97,69,166,28900332,495483419866,30180218,515106947283,0.9638554217,0.9575918902,0.9619039745
$5B-$10B,57,0,36,21,57,20686208,409421004453,20686208,409421004453,1,1,1
> $10B,21,0,10,11,21,36261959,572997385026,36261959,572997385026,1,1,1
Totals,4130,451,1775,2806,4581,138707530,2265734059377,141992560,2313682899241,0.9015498799,0.9768647738,0.9792759674
