ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,29,4,25,29,0,0,3422,3349947,0,0,0
$200K-$500K,0,64,22,42,64,0,0,14242,22290179,0,0,0
$500K-$1M,0,70,21,49,70,0,0,19844,51026183,0,0,0
$1M-$2M,0,120,32,88,120,0,0,42918,175662167,0,0,0
$2M-$5M,3,249,68,184,252,1196,8956251,163230,863684193,0.0119047619,0.007327084482,0.0103698216
$5M-$10M,8,359,110,257,367,7607,55109573,373060,2630898841,0.02179836512,0.02039082185,0.0209470513
$10M-$20M,11,438,129,320,449,22928,154602093,759181,6470746579,0.02449888641,0.03020096657,0.02389246606
$20M-$50M,45,748,271,522,793,142538,1570121816,2344038,26161253428,0.05674653216,0.06080874116,0.06001707144
$50M-$100M,80,552,245,387,632,495012,6133748896,3744406,45595163132,0.1265822785,0.1322004078,0.1345263066
$100M-$200M,93,451,230,314,544,997811,13524898605,5705981,77172061409,0.1709558824,0.1748710695,0.1752564122
$200M-$500M,128,410,242,296,538,2854719,41211772306,11759813,172879608578,0.2379182156,0.2427520744,0.2383842296
$500M-$1B,71,210,145,136,281,3375938,51869114970,13006803,202882470126,0.2526690391,0.2595517131,0.2556609003
> $1B,201,246,258,189,447,65021202,1076884558962,104122811,1780207616847,0.4496644295,0.6244664486,0.6049207681
Totals,640,3946,1777,2809,4586,72918951,1191412883472,142059749,2315115831609,0.1395551679,0.5132977604,0.5146234444
