ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1807,346,663,1490,2153,3343586,33034000241,3753399,36882579849,0.8392940084,0.8908154982,0.8956531885
$50M-$100M,589,43,240,392,632,3520619,42678527479,3761604,45775447606,0.9319620253,0.9359355743,0.9323453884
$100M-$200M,516,32,235,313,548,5468204,73708220967,5715146,77847880756,0.9416058394,0.956791655,0.9468237318
$200M-$500M,509,30,244,295,539,11320984,164575123536,11828966,173707174183,0.9443413729,0.9570560943,0.9474284773
$500M-$1B,271,8,142,137,279,12356658,196459718103,12772073,202055507609,0.9713261649,0.9674747396,0.9723056819
$1B-$2B,198,4,120,82,202,16580523,274676103789,16912577,280847547042,0.9801980198,0.9803664456,0.9780256466
$2B-$5B,164,3,95,72,167,28806062,502260084964,29430959,512726609199,0.9820359281,0.9787673585,0.9795865398
$5B-$10B,59,0,37,22,59,21334200,419456648704,21334200,419456648704,1,1,1
> $10B,21,0,10,11,21,35911961,576770075194,35911961,576770075194,1,1,1
Totals,4134,466,1786,2814,4600,138642797,2283618502977,141420885,2326069470142,0.8986956522,0.9803558859,0.9817499143
