League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,2,7,1,8,9,773831,12103616911,973250,15401528809,0.2222222222,0.7950999229,0.785871134
Association of Vermont Credit Unions,5,11,11,5,16,315726,5195560053,426314,6623471042,0.3125,0.7405949605,0.7844165121
California and Nevada Credit Union League,48,222,121,149,270,3661363,84228675356,14094049,301521203324,0.1777777778,0.259780777,0.2793457788
Carolinas Credit Union League,31,78,37,72,109,5540070,91789750629,6745766,106937516320,0.2844036697,0.821266258,0.8583493781
Cooperative Credit Union Association,19,155,66,108,174,993790,17774917432,4829078,78695704647,0.1091954023,0.2057929071,0.2258689659
Cornerstone League,78,590,308,360,668,6937727,104208296826,14872259,214766433510,0.1167664671,0.4664877743,0.4852168708
Credit Union Association of New Mexico,8,32,18,22,40,758237,13014115478,1081684,17930284441,0.2,0.7009782894,0.7258175698
CrossState Credit Union Association,43,398,45,396,441,2256599,33158194839,5862076,89297768965,0.09750566893,0.3849487792,0.3713216492
Dakota Credit Union Association,7,54,16,45,61,72609,1119011104,537025,10831675601,0.1147540984,0.135205996,0.1033091412
GoWest Credit Union Association,42,233,134,141,275,5020217,90677253724,12892061,224359344799,0.1527272727,0.3894037579,0.4041608064
Hawaii Credit Union League,17,30,0,47,47,697306,12651024852,869628,15239670466,0.3617021277,0.8018440069,0.830137691
Illinois Credit Union League,13,194,159,48,207,1319930,21503549169,3991674,68896850373,0.06280193237,0.3306707913,0.3121122236
Indiana Credit Union League,15,114,34,95,129,1245027,19785268870,2804410,43690956050,0.1162790698,0.4439532736,0.4528458669
Iowa Credit Union League,3,65,67,1,68,71675,1076937271,1632195,32774706316,0.04411764706,0.04391325791,0.03285879241
Kentucky's Credit Union,7,48,18,37,55,558053,9027824942,974886,14216298741,0.1272727273,0.5724289814,0.6350334293
League of Southeastern Credit Unions,51,235,156,130,286,5227496,71678820866,12283919,182745937478,0.1783216783,0.4255560461,0.3922320893
Louisiana Credit Union League,19,131,26,124,150,765494,9891964085,1344672,16503084550,0.1266666667,0.5692793484,0.5994009214
Maine Credit Union League,1,46,12,35,47,18262,241518284,731678,11687844792,0.02127659574,0.02495906669,0.0206640564
Maryland & DC Credit Union Association,40,70,7,103,110,1595382,33003686026,2699173,52534996071,0.3636363636,0.5910632627,0.6282228704
Michigan Credit Union League,17,170,121,66,187,1079393,18451510092,5975525,102695781089,0.09090909091,0.1806356764,0.1796715493
Minnesota Credit Union Network,13,71,59,25,84,1048001,22943338404,2062590,38902755984,0.1547619048,0.5080995254,0.5897612604
Mississippi Credit Union Association,7,54,1,60,61,471835,5708574464,732643,7977729308,0.1147540984,0.6440176184,0.7155638207
Montanas Credit Unions,2,41,9,34,43,121932,3117045045,429377,7548242286,0.04651162791,0.2839742231,0.4129497871
Nebraska Credit Union League and Affils,4,49,10,43,53,264362,2974732535,567269,6514805705,0.07547169811,0.4660258184,0.4566110901
New York Credit Union Association,53,232,12,273,285,3650455,74998930921,6724982,121581582321,0.1859649123,0.5428200403,0.6168609545
Ohio Credit Union League,23,186,95,114,209,501715,6432304327,3250202,46137764309,0.1100478469,0.1543642518,0.1394151716
Tennessee Credit Union League,17,114,74,57,131,1101033,20238458910,2566380,40624320111,0.1297709924,0.4290218128,0.4981857876
The Credit Union League of Connecticut Inc,14,61,25,50,75,430769,6417678294,955493,14935878709,0.1866666667,0.4508342814,0.4296820039
Utah Credit Union Association,7,49,24,32,56,2961028,43720813719,3743437,55394339416,0.125,0.7909918078,0.7892650076
Virginia Credit Union League,26,63,21,68,89,15015080,194927851962,19163006,251054803674,0.2921348315,0.7835451286,0.7764354599
West Virginia Credit Union League,3,73,3,73,76,33479,447719866,377450,4882567372,0.03947368421,0.08869784077,0.09169763198
Wisconsin Credit Union League,5,105,107,3,110,974008,16290878297,3852002,67720365682,0.04545454545,0.252857605,0.2405609913
Totals,640,3981,1797,2824,4621,65481884,1048799823553,140046153,2270626212261,0.1384981606,0.4675736005,0.4618989325
