ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1640,323,601,1362,1963,2997782,30353543687,3411104,34253829276,0.8354559348,0.8788304314,0.8861357789
$50M-$100M,544,40,223,361,584,3122445,39596706448,3328078,42478406523,0.9315068493,0.9382126861,0.9321608245
$100M-$200M,503,29,214,318,532,5182036,71675363365,5402283,75773587025,0.9454887218,0.9592307548,0.9459148785
$200M-$500M,505,25,232,298,530,10736464,162059057590,11212221,169951421513,0.9528301887,0.9575679966,0.9535610597
$500M-$1B,272,5,146,131,277,12112654,195203775474,12392917,198617304080,0.9819494585,0.9773852274,0.9828135387
$1B-$2B,205,3,118,90,208,16626594,281803535996,16929851,286116604632,0.9855769231,0.9820874383,0.9849254864
$2B-$5B,159,11,96,74,170,28637296,496142590383,30706126,530597104959,0.9352941176,0.932624845,0.935064639
$5B-$10B,63,0,37,26,63,23248252,455276170181,23248252,455276170181,1,1,1
> $10B,19,1,9,11,20,34810045,556814118450,37558698,586166225879,0.95,0.9268171383,0.9499252838
Totals,3910,437,1676,2671,4347,137473568,2288924861574,144189530,2379230654068,0.8994708995,0.9534226792,0.9620441203
