NIMBLE_CUNA_ID,Old Name,State,New Name
10024402,Self Reliance NY FCU,NY,Self Reliance Financial FCU
10029724,Shelby County FCU,TN,SecurCommunity FCU
10029090,Palmetto Health CU,SC,Curis Financial CU
10026771,Sunset Science Park FCU,OR,Sunset FCU
10024867,Allegacy FCU,NC,Allegacy Financial
10030152,Associated CU of Texas,TX,Openland CU
10027073,TruMark Financial CU,PA,TruMark CU
10030250,Fort Worth Community CU,TX,Worth CU
10014763,Lōkahi FCU,HI,Lokahi FCU
10012674,Wings Financial Credit Union,CO,Wings Credit Union
10020748,Orsa Credit Union,MI,orsa credit union
10105024,New York Episcopal FCU,NY,Community Good Episcopal FCU
