ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1642,327,604,1365,1969,3005318,30427934270,3418602,34323912822,0.8339258507,0.8791073076,0.8864937523
$50M-$100M,544,40,223,361,584,3122445,39596706448,3328078,42478406523,0.9315068493,0.9382126861,0.9321608245
$100M-$200M,503,30,215,318,533,5181367,71692782381,5415259,75918470487,0.9437148218,0.956808714,0.9443391301
$200M-$500M,505,25,232,298,530,10761388,162210530115,11212221,169951421513,0.9528301887,0.9597909281,0.9544523292
$500M-$1B,271,5,145,131,276,12056846,194547532196,12337109,197961060802,0.981884058,0.9772829275,0.9827565654
$1B-$2B,205,3,118,90,208,16626594,281803535996,16929851,286116604632,0.9855769231,0.9820874383,0.9849254864
$2B-$5B,162,8,96,74,170,29176022,505798574463,30706126,530597104959,0.9529411765,0.9501694222,0.9532629744
$5B-$10B,63,0,37,26,63,23248252,455276170181,23248252,455276170181,1,1,1
> $10B,20,0,9,11,20,37558698,586166225879,37558698,586166225879,1,1,1
Totals,3915,438,1679,2674,4353,140736930,2327519991929,144154196,2378789377798,0.8993797381,0.9762943702,0.9784472781
