ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,73,2081,663,1491,2154,186048,1907765514,3753607,36883304810,0.0338904364,0.04956512496,0.05172436483
$50M-$100M,90,541,240,391,631,560010,6909158620,3752570,45694205999,0.1426307448,0.1492337252,0.1512042603
$100M-$200M,108,439,234,313,547,1162987,15921996488,5701096,77690694050,0.197440585,0.203993583,0.204940845
$200M-$500M,141,399,245,295,540,3179982,45762754171,11846680,173934163171,0.2611111111,0.2684281166,0.2631038856
$500M-$1B,86,193,142,137,279,4226073,63348529888,12772073,202055507609,0.3082437276,0.3308838745,0.3135204313
$1B-$2B,74,128,120,82,202,6576385,103925997404,16912577,280847547042,0.3663366337,0.3888458276,0.3700441699
$2B-$5B,90,77,95,72,167,16449207,274849288137,29430959,512726609199,0.5389221557,0.5589082911,0.5360542699
$5B-$10B,40,19,37,22,59,15208157,292170862146,21334200,419456648704,0.6779661017,0.7128533997,0.696546027
> $10B,15,6,10,11,21,31170100,483598378492,35911961,576770075194,0.7142857143,0.8679587283,0.8384595514
Totals,717,3883,1786,2814,4600,78718949,1288394730860,141415723,2326058755778,0.1558695652,0.5566491995,0.5538960388
