NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10029431,BASF Chattanooga FCU,TN,3445135,411,0
10010303,Bridgeway Credit Union,AL,63180629,7125,32
10035449,UPS EFCU,CA,47803627,5183,11
10022596,Plus CU,NV,128894141,8696,23
10026676,First Oklahoma FCU,OK,28016742,2214,10
10025758,Lan-Fair FCU,OH,72479996,3974,8
10025597,Geauga CU Inc,OH,107897562,6960,11
10028040,R-S Bellco FCU,PA,41177960,3151,11
10032082,Strait View CU,WA,105173169,7203,13
10029560,Beacon Financial CU,TN,28265732,2166,8
10028361,Benchmark FCU,PA,296435386,8943,36
10026609,Municipal ECU of Oklahoma City,OK,188782246,9642,42
10024454,Suffolk FCU,NY,2030560101,77768,211
10022893,Motion FCU,NJ,61032254,5050,19
10026567,True Sky CU,OK,799203599,62138,148
10012726,Delta County FCU,CO,74105859,4332,14
10026768,IBEW and United Workers FCU,OR,110935532,14243,29
10027310,Elliott Community FCU,PA,52316695,6969,25
10010225,Jefferson Credit Union,AL,92797668,8248,24
10011330,East County Schools FCU,CA,141686042,4714,22
10030274,United Community CU,TX,124597285,13531,53
10030265,Frio County FCU,TX,5355336,1668,3
10029913,Baker Hughes FCU,TX,11782092,1454,3
10027222,Copper and Glass FCU,PA,5269010,1225,3
10021243,Share Advantage CU,MN,56392182,3455,12
10019295,First Priority CU,MA,143329581,6178,31
10031619,St Patricks Parish Credit Union,VT,583930,312,1
10012441,First California FCU,CA,109801738,9311,22
10022153,Gateway Metro FCU,IL,173187041,9652,55
10013704,Blue Coast FCU,FL,162896635,11280,40
10014484,Georgia Power Valdosta FCU,GA,23074043,2767,10
10037112,Ohio Valley FCU,OH,26016720,2107,6
10015944,Northside L FCU,IL,4915044,808,2
10020452,First Area CU,MI,38514775,2872,10
10017394,Collins Community Credit Union,IA,1522783463,81905,214
10012251,North Bay Credit Union,CA,114376710,2830,52
10013190,The New Haven Police and Municipal FCU,CT,5482707,832,4
10013649,Signal Financial FCU,MD,381328462,18456,79
10018249,Cove FCU,KY,77919908,6464,17
10017853,Kansas Blue Cross Blue Shield CU,KS,53664179,3489,10
10017866,KCK Firemen & Police CU,KS,16351996,1894,7
10019019,Central CU of Maryland,MD,41592404,4401,9
10012204,Golden Valley FCU,CA,38854791,3298,9
10034330,Campco FCU,WY,219904069,19350,45
10032769,Dairyland Power CU,WI,20309740,1210,3
10084144,People Trust Community,AR,2650332,1805,0
10031009,Team Financial FCU,TX,4254884,982,0
10012727,Harmony FCU,CO,19018658,1333,3
10018679,Shreveport FCU,LA,84752589,22000,67
,Totals (49 Credit Unions):,,7963150379,485999,1467
