ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,12,12,4,20,24,1321,1236718,2629,2621605,0.5,0.502472423,0.4717407847
$200K-$500K,44,19,21,42,63,9766,14944728,13227,21308711,0.6984126984,0.7383382475,0.7013435961
$500K-$1M,48,16,18,46,64,15227,34902529,18507,46866617,0.75,0.8227697628,0.7447204692
$1M-$2M,71,39,36,74,110,23475,101118066,39074,160064271,0.6454545455,0.6007831294,0.6317341488
$2M-$5M,176,67,61,182,243,111621,621780015,149239,840300702,0.7242798354,0.7479345211,0.7399494175
$5M-$10M,258,78,100,236,336,266550,1814389769,352099,2396441654,0.7678571429,0.7570314031,0.7571182741
$10M-$20M,355,74,123,306,429,585152,5137378840,708557,6186592907,0.8275058275,0.8258361713,0.830405187
$20M-$50M,689,81,261,509,770,2021163,22934032537,2238979,25552932842,0.8948051948,0.9027163721,0.8975107742
$50M-$100M,552,53,232,373,605,3186513,40199499777,3478201,43870522712,0.9123966942,0.9161382565,0.9163214225
$100M-$200M,504,38,222,320,542,5173695,72076389997,5468646,77220808570,0.9298892989,0.9460650772,0.9333804104
$200M-$500M,501,30,236,295,531,10671390,160727047729,11215430,169832542056,0.9435028249,0.9514918287,0.9463854558
$500M-$1B,280,7,148,139,287,12406241,200542819743,12747283,204998097828,0.9756097561,0.9732459066,0.9782667345
> $1B,449,11,261,199,460,106043964,1826540782344,107840742,1855281139783,0.9760869565,0.9833385976,0.9845088937
Totals,3939,525,1723,2741,4464,140516078,2330746322792,144272613,2386410240258,0.8823924731,0.9739622447,0.9766746234
