NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10036099,Reading MA Town EFCU,MA,7650869,640,2
10026811,Laneco FCU,OR,17060204,1537,3
10027767,Parkview Community FCU,PA,54949968,7603,15
10036261,FRSA CU,FL,5393606,712,2
10020284,Eastpointe Community CU,MI,11159590,1397,4
10030732,SPCO Credit Union,TX,37155615,2755,7
10036425,Florida Rural Electric CU,FL,28082939,2968,5
10014332,Pinnacle Credit Union,GA,87755247,6778,25
10021157,Anoka Hennepin CU,MN,282247942,18728,59
10016030,Peoples Energy CU,IL,24663311,1761,3
10011643,Allied Healthcare FCU,CA,70954230,4970,15
10011854,Paradise Valley FCU,CA,79229968,4377,14
10014021,Law Enforcement & Technology FCU #971,FL,52738954,4492,8
10027076,Bellco FCU,PA,175656679,13277,33
10018597,Louisiana FCU,LA,409228019,35886,124
10031885,Pentagon FCU,VA,31010251746,2833403,2819
10013629,State Department FCU,VA,2904058344,87954,207
10027971,GOLD Credit Union,PA,138745636,9207,33
10029537,Lowland Credit Union,TN,143282063,10217,32
10020931,BlueOx CU,MI,364563300,31015,133
10016368,Encurage Financial Network,IL,221723549,11801,35
10016105,Synergy Partners Credit Union,IL,11032191,1344,3
10024996,Flasher Community CU,ND,12254814,671,0
10013026,Northeastern CT Healthcare CU Inc,CT,10240213,1686,4
10017614,United Credit Union,IA,18618740,1772,4
10016682,Health Care Idaho CU,ID,12158795,1208,0
10028058,St Elizabeth CU,PA,9637296,500,2
10012064,1st Valley CU,CA,45967815,2729,8
10012727,Harmony FCU,CO,19018658,1333,3
10024007,Lexington Ave FCU,NY,19061538,2992,5
10032440,Cabway Telco FCU,WV,5111632,357,0
10031034,FCI Federal Credit Union,TX,5355242,935,3
10030280,Galveston School EFCU,TX,2373693,650,2
10013280,Ukrainian Selfreliance New Eng FCU,CT,45234396,3219,15
10014251,Financial Access FCU,FL,34497547,2577,16
10022614,Reno City EFCU,NV,32207425,1749,5
10019326,Cambridge Teachers FCU,MA,26376496,1741,4
10017585,The Municipal CU,IA,22900756,2175,5
10021712,United Methodist of Mississippi FCU,MS,475994,191,1
10010447,Little Rock FCU,AR,1362132,300,2
,Totals (40 Credit Unions):,,36460437152,3119607,3660
