ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,30,5,25,30,0,0,3886,3779271,0,0,0
$200K-$500K,0,60,21,39,60,0,0,13822,20971099,0,0,0
$500K-$1M,0,76,22,54,76,0,0,20958,55680011,0,0,0
$1M-$2M,0,117,31,86,117,0,0,42136,171142198,0,0,0
$2M-$5M,3,257,74,186,260,1421,10635084,166349,890051080,0.01153846154,0.008542281589,0.0119488468
$5M-$10M,4,368,109,263,372,4363,26452232,376348,2684193820,0.01075268817,0.01159299372,0.009854814434
$10M-$20M,8,447,131,324,455,17945,117368835,771385,6610711013,0.01758241758,0.02326335099,0.01775434364
$20M-$50M,43,763,279,527,806,142532,1455657155,2386817,26749508513,0.05334987593,0.05971635027,0.05441808975
$50M-$100M,78,556,240,394,634,519380,5996196487,3769892,45877633052,0.1230283912,0.137770525,0.1306997787
$100M-$200M,93,460,237,316,553,974258,13462677270,5777728,78618889945,0.1681735986,0.1686230297,0.1712397272
$200M-$500M,128,414,246,296,542,2849554,41041483527,11894367,174565114739,0.2361623616,0.2395717233,0.2351070177
$500M-$1B,101,178,142,137,279,4975589,75483579904,12772073,202055507609,0.3620071685,0.3895678485,0.373578433
> $1B,183,266,262,187,449,56274144,934399138453,103589697,1789800880139,0.4075723831,0.5432407433,0.5220687669
Totals,641,3992,1799,2834,4633,65759186,1071993188947,141585458,2328104062489,0.1383552774,0.4644487289,0.4604575913
