State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Guam,2,0,0,2,2,60701,780299957,60701,780299957,1,1,1
Puerto Rico,3,2,0,5,5,97453,1154512302,101808,1184697442,0.6,0.9572234009,0.9745208026
Virgin Islands,4,1,0,5,5,17240,155578801,17556,157353221,0.8,0.9820004557,0.9887233322
Totals,9,3,0,12,12,175394,2090391060,180065,2122350620,0.75,0.9740593675,0.9849414325
