NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10023609,Canandaigua FCU,NY,Barry Stilwell,Holly Davis
10026795,IBEW/SJ Cascade FCU,OR,Mike Ruda,Lisa Swartnout
10016810,Clifty Creek EFCU,IN,Tracey Carter,Adriana Ward
10010718,Winslow School EFCU,AZ,Shelley Caraway,Meghan Holtum
10018766,Wymar FCU,LA,Ronnie Stephens,Cami Wheeler
10011952,Rancho FCU,CA,Wayne Watters,Beatrice Scott
10010039,ACIPCO FCU,AL,Jo Alvis,Alison Cooke
10023801,Triboro Postal FCU,NY,Bernadette Summa,Tina Trapani
10027012,American Pride CU,PA,Nick Spallone,Heather Mcdowell
10026559,El Reno RIL CU,OK,Griselda Spencer,Sherry Davis
10023404,Rincones Presbyterian CU,NM,Joanne Padilla-Salas,Alfrida Valencia
10016044,Pontiac-Dwight Prison ECU,IL,Leora Powley,Lynda Johnson
10026815,44 North Credit Union,OR,Carol Cromwell,Jeff Elliott
10020931,BlueOx CU,MI,Steve Cobb,Deborah Adams
10014980,Corporate America Family CU,IL,Dan Kadolph,Stefanie Rupert
10011903,MyPoint Credit Union,CA,David Brooke,Matt Rhead
10025074,Town and Country CU,ND,Stefanie Rupert,Kalli Schell
10018170,Greater Kentucky CU,KY,Debbie Pyle,Michael Little
10026015,Maumee Valley CU,OH,Rebecca Schroeder,Chris Gomez
10012036,SafeAmerica Credit Union,CA,Frank Zampella,Roger Ballard
10031290,Utah Community CU,UT,Bret Van Ausdal,Justin Olson
10038847,Pioneer Mutual FCU,TX,Shaukat Ali,Faheem Prasla
10012211,Shell Western States FCU,CA,Rodolfo Garza,Mary Jane Bacani
10030944,Southern FCU,TX,Shalonda Dawkins,Shalonda Buckner
10010662,Prescott FCU,AZ,Teresa Jones,Anna May Corey
10039108,Georgetown Univ Alumni and Stdnt FCU,DC,Leathan Posey,Grazzia Bhatia
10034373,Metro Realtors FCU,NY,Tony Russo,Michelle Singh
10018610,Pan Amoco FCU,LA,Bonnie Guzzardi,Calli Kron
10012152,Santa Maria Associated EFCU,CA,MELLISSA MATHESON,Mellissa Matheson
10029013,Edisto FCU,SC,Lee Williams,Mary Moorer
10024841,Oteen VA FCU,NC,Maria Mathis,Shannon Austin
10020124,Port City FCU,MI,Erin Bedwin,Ashton Person
10033470,Northside FCU,GA,Amy Brown,Lori Blackwell
10013785,Community First CU,FL,John Hirabayashi,Sam Inman
10011817,Eagle Community CU,CA,Scott Rains,Michael Kim
10012868,Peoples CU,CO,Deann Billings,Spencer Homsher
10037326,Loudoun CU,VA,Travis Allen,Michael Falvey
10026618,Teachers CU,OK,Lindsay Vera,Griselda Spencer
10030063,Coburn CU,TX,Debra Norman,Cassandra Laws
10024759,First Carolina People's CU,NC,Crystal Grant,Stacey Jones
10017726,Town & Country CU,IA,Gervas Mgonja,Josie Pierce
10017698,UNITE CU,IA,Carlos Pinto,Melissa Beall
