ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,67,2073,655,1485,2140,174269,1788789733,3715832,36338094146,0.03130841121,0.04689905249,0.04922629475
$50M-$100M,80,552,245,387,632,495012,6133748896,3744406,45595163132,0.1265822785,0.1322004078,0.1345263066
$100M-$200M,93,451,230,314,544,997811,13524898605,5705981,77172061409,0.1709558824,0.1748710695,0.1752564122
$200M-$500M,128,410,242,296,538,2854719,41211772306,11759813,172879608578,0.2379182156,0.2427520744,0.2383842296
$500M-$1B,71,210,145,136,281,3375938,51869114970,13006803,202882470126,0.2526690391,0.2595517131,0.2556609003
$1B-$2B,75,127,115,87,202,6645850,107252861018,16931340,281290165088,0.3712871287,0.3925176625,0.3812890543
$2B-$5B,77,89,97,69,166,14632047,238323433291,30180218,515106947283,0.4638554217,0.4848224423,0.4626678684
$5B-$10B,36,21,36,21,57,13729740,269913361192,20686208,409421004453,0.6315789474,0.6637146837,0.6592562625
> $10B,14,7,10,11,21,30253894,464452909949,36261959,572997385026,0.6666666667,0.8343149359,0.8105672418
Totals,641,3940,1775,2806,4581,73159280,1194470889960,141992560,2313682899241,0.1399257804,0.5152331925,0.5162638711
