NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10033106,Oshkosh Postal Employees Credit Union,WI,6393976,433,4
10023538,BET FCU,NY,6396794,455,1
10028900,Postal Employees Regional FCU,RI,5803346,565,2
10014902,Aldersgate FCU,IL,10577346,811,2
10030978,Space City CU,TX,134209610,12151,42
10027140,Beaver Valley FCU,PA,100524192,9083,27
10024165,Niagara Frontier Federal Municipal ECU,NY,2219644,309,2
10025888,Atrium CU,OH,10797022,997,6
10013861,Alliance Credit Union,FL,58457102,5477,14
,Totals (9 Credit Unions):,,335379032,30281,100
