NIMBLE_CUNA_ID,Name,Old Charter,Old Charter Type,New Charter,New Charter Type
10024149,Heritage Financial Credit Union,68711,State,24985,Federal
10023923,Hudson River Community CU,68342,State,24987,Federal
10023934,Hudson Valley CU,68705,State,24984,Federal
10011277,Valley First CU,68402,State,24986,Federal
