ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,29,5,24,29,0,0,3638,3588616,0,0,0
$200K-$500K,0,60,21,39,60,0,0,13822,20971099,0,0,0
$500K-$1M,0,74,21,53,74,0,0,20719,54410110,0,0,0
$1M-$2M,0,114,30,84,114,0,0,40780,166505335,0,0,0
$2M-$5M,2,255,72,185,257,780,6243077,164724,881570485,0.007782101167,0.004735193414,0.007081767262
$5M-$10M,4,364,108,260,368,4363,26452232,371974,2652589766,0.01086956522,0.01172931441,0.009972228778
$10M-$20M,7,446,131,322,453,15646,99664390,768509,6581890515,0.01545253863,0.02035890276,0.01514221329
$20M-$50M,34,765,275,524,799,108944,1155578773,2369441,26521778884,0.04255319149,0.04597877727,0.04357093761
$50M-$100M,62,569,240,391,631,414608,4848477726,3752570,45694205999,0.09825673534,0.1104864133,0.1061070571
$100M-$200M,82,465,234,313,547,872209,11889931700,5701096,77690694050,0.1499085923,0.1529897058,0.1530419035
$200M-$500M,95,445,245,295,540,2216432,31021263967,11846680,173934163171,0.1759259259,0.1870930927,0.1783506092
$500M-$1B,69,210,142,137,279,3498728,51335764973,12772073,202055507609,0.247311828,0.2739357973,0.2540676351
> $1B,150,299,262,187,449,50436830,829583303667,103589697,1789800880139,0.3340757238,0.4868904096,0.4635059201
Totals,505,4095,1786,2814,4600,57568540,929966680505,141415723,2326058755778,0.1097826087,0.4070872657,0.3998036069
